"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed","Profile_Type","R_naught"
0.00019,0.0588235294117647,1.18367164248467,0.591795521914571,0.0311553323247971,0.0701122642606729,0.679123352994728,3.68e-05,5281842,309376.22673325,0,0,0,0.01721420632104,0,-166.528126491759,854534783,"sigma_P",1.195375600596
0.00019,0.0588235294117647,1.17953749270948,0.589984249658047,0.0312774573726121,0.0701089309137118,0.682392729729291,3.67999999999999e-05,5281842,309375.848417263,0,0,0,0.01721420632104,0,-166.502911569568,809541006,"sigma_P",1.1953484150043
0.00019,0.0588235294117647,1.16910716481729,0.611778743285546,0.0361073111531355,0.0697380202684642,0.725341444645977,3.68e-05,5281842,309375.839387683,0,0,0,0.01721420632104,0,-166.913381286463,929310709,"sigma_P",1.1893146421436
0.00019,0.0588235294117647,1.17472359656369,0.620021202149011,0.0396295153181574,0.0693156626320658,0.733776992518929,3.68e-05,5281842,309375.808296819,0,0,0,0.01721420632104,0,-167.407948867225,485816672,"sigma_P",1.18215058166253
0.00019,0.0588235294117647,1.14213414688127,0.590049875897635,0.0257760175443643,0.0679904206962384,0.617148234335245,3.68e-05,5281842,159375.922955231,0,0,0,0.01721420632104,0,-166.343503828981,685659043,"sigma_P",1.15890621372366
0.00019,0.0588235294117647,1.14211660387954,0.580657861389643,0.0255997713312501,0.0679834308317053,0.614379452946264,3.68000000000001e-05,5281842,159374.930829049,0,0,0,0.01721420632104,0,-166.325669772517,908864872,"sigma_P",1.15877009323885
0.00019,0.0588235294117647,1.14327779114119,0.583166198258949,0.0256820484816358,0.0680175770410158,0.615262708105883,3.68e-05,5281842,159376.602079125,0,0,0,0.01721420632104,0,-166.344735950127,204169477,"sigma_P",1.15935540782262
0.00019,0.0588235294117647,1.14828606794501,0.60245850460489,0.0255172158654774,0.0679248514239685,0.613490284413991,3.68e-05,5281842,159375.538373003,0,0,0,0.01721420632104,0,-166.377122193928,183081952,"sigma_P",1.15775481498741
0.00019,0.0588235294117647,1.14294514816175,0.593006891828876,0.0259341563581319,0.0680232537788252,0.619670693228802,3.68e-05,5281842,159376.012828992,0,0,0,0.01721420632104,0,-166.381582158075,406221012,"sigma_P",1.15947986363673
0.00019,0.0588235294117647,1.15230495586333,0.592050796908827,0.0327340624982806,0.0682615781440908,0.69303164230452,3.68e-05,5281842,215624.723033951,0,0,0,0.01721420632104,0,-166.399339832219,963525420,"sigma_P",1.16397489761821
0.00019,0.0588235294117647,1.16207959429323,0.579260256341493,0.0277238174661485,0.0685083990440167,0.646342704999591,3.68e-05,5281842,215626.663127466,0,0,0,0.01721420632104,0,-165.824147962514,502933584,"sigma_P",1.16787645309356
0.00019,0.0588235294117647,1.16501605079231,0.577444672296491,0.0276598164936372,0.0684864130828529,0.646037029751208,3.68e-05,5281842,215626.329638273,0,0,0,0.01721420632104,0,-165.821851776633,970653442,"sigma_P",1.16749383555575
0.00019,0.0588235294117647,1.17994406753972,0.583868233428868,0.0305097528315027,0.0698238308017702,0.674571124362335,3.68e-05,5281842,290625.195956097,0,0,0,0.01721420632104,0,-166.316932239328,862630285,"sigma_P",1.19043816887526
0.00019,0.0588235294117647,1.18120774590831,0.585783291677455,0.0307343501328512,0.0695808884096265,0.675584829963095,3.68e-05,5281842,290625.351431034,0,0,0,0.01721420632104,0,-166.248635252569,357641893,"sigma_P",1.1862996474168
0.00019,0.0588235294117647,1.18159003390764,0.586245169802414,0.0306024628055393,0.0697873615624508,0.674627634217032,3.67999999999999e-05,5281842,290626.097139967,0,0,0,0.01721420632104,0,-166.325614829703,273029065,"sigma_P",1.1898130833855
0.00019,0.0588235294117647,1.17772144670237,0.581788230998846,0.0304327759668175,0.0698737556266204,0.674138961311838,3.68e-05,5281842,290625.70005962,0,0,0,0.01721420632104,0,-166.323992515733,764385489,"sigma_P",1.19129160230322
0.00019,0.0588235294117647,1.17959158434667,0.585288743655418,0.030668788572873,0.0697509680894677,0.675407637977629,3.68e-05,5281842,290626.292424468,0,0,0,0.01721420632104,0,-166.295499816189,580896109,"sigma_P",1.18920187626419
0.00019,0.0588235294117647,1.13334290390027,0.599797549209113,0.0251837568081807,0.0678934422670296,0.602313978086637,3.68e-05,5281842,140625.355279685,0,0,0,0.01721420632104,0,-166.78516541534,517606037,"sigma_P",1.15717780868608
0.00019,0.0588235294117647,1.13158927048379,0.59243781955812,0.0254109895741674,0.0678757670199433,0.60850228620941,3.68000000000001e-05,5281842,140627.028375449,0,0,0,0.01721420632104,0,-166.774302328044,205117897,"sigma_P",1.15691777953482
0.00019,0.0588235294117647,1.1332323849258,0.595851530104678,0.0255089543227275,0.0679475135937967,0.608244955335216,3.68e-05,5281842,140624.470586859,0,0,0,0.01721420632104,0,-166.828727706962,490141512,"sigma_P",1.15813616879443
0.00019,0.0588235294117647,1.12964799958317,0.594224636341509,0.0246833945264364,0.0679604691590718,0.603420595363846,3.68e-05,5281842,140626.034407545,0,0,0,0.01721420632104,0,-166.803965336633,706568161,"sigma_P",1.15833353780173
0.00019,0.0588235294117647,1.13436971029592,0.595742700031337,0.0253701557262167,0.067742000297588,0.606677922564451,3.68e-05,5281842,140626.066305251,0,0,0,0.01721420632104,0,-166.75013034189,588619902,"sigma_P",1.15462163572545
