"sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.00019,0.142857142857143,0.1,-8.20276972712652,9.78683070694248,0.816800516843678,2.13707295990901,-0.297698671876567,3.68e-05,5301405,239064.003112539,135939.092686552,0,0,0,0,0,-287.099307000036,14250639
0.00019,0.142857142857143,0.1,-7.9019590548033,2.32949019874716,0.854373426169913,1.73045467555208,-2.17872532181264,3.68e-05,5301405,239064.264074213,135936.808594243,0,0,0,0,0,-227.70020231673,627396081
0.00019,0.142857142857143,0.1,-7.6656083533715,9.01518774806598,0.802724066304946,1.98066451433388,-0.850096012448378,3.68e-05,5301405,239061.99732398,135937.765989887,0,0,0,0,0,-283.906996159493,916090583
0.00019,0.142857142857143,0.1,-7.56165318142983,9.73139908167941,0.791594223168697,1.78680929542266,-0.29408983107099,3.68e-05,5301405,239061.735933506,135937.823605499,0,0,0,0,0,-285.674131670005,48106453
0.00019,0.142857142857143,0.1,-2.84977898752799,0.643773860374931,0.0391253550284117,-0.349823591228939,-2.65870958071197,3.67999999999999e-05,5301405,89063.5366307386,285937.575257943,0,0,0,0,0,-169.130323369738,134006432
0.00019,0.142857142857143,0.1,-1.64932618640785,3.21837298049536,0.39469183160273,0.601369471867346,-6.75246231849372,3.68e-05,5301405,89062.7666558055,285937.633713479,0,0,0,0,0,-234.272773276535,1047724745
0.00019,0.142857142857143,0.1,-1.94280447291158,2.14981627576973,0.465921787122785,0.373464820412847,-5.66400860904406,3.68e-05,5301405,89063.9932077137,285938.16996168,0,0,0,0,0,-212.049145371189,877731556
0.00019,0.142857142857143,0.1,-2.89263801652002,1.11899557439322,0.350884639100065,0.320754214541066,-4.08298875199368,3.67999999999999e-05,5301405,89062.151806547,285939.674836237,0,0,0,0,0,-186.483316472089,299457915
0.00019,0.142857142857143,0.1,-2.82712804799021,1.26533501999432,0.46825483329271,0.537665609937082,-4.51334836225585,3.68000000000001e-05,5301405,89064.1160473081,285938.194867296,0,0,0,0,0,-191.16260312195,1025621464
0.00019,0.142857142857143,0.1,-10.9011930656233,3.30819211103237,0.570279019177963,2.21434938559326,-2.21783535719919,3.68e-05,5301405,276564.933844612,98437.8976152377,0,0,0,0,0,-256.623531747766,606483398
0.00019,0.142857142857143,0.1,-11.6640533189722,3.35646648717454,0.68888014587174,2.07990248769315,-1.78909831044805,3.68e-05,5301405,276560.794987826,98435.4666667933,0,0,0,0,0,-258.581727758988,89293850
0.00019,0.142857142857143,0.1,-11.593315995908,3.88023606689235,0.567445195975044,2.01392886331803,-1.67604993098436,3.68e-05,5301405,276561.483924714,98437.4259434767,0,0,0,0,0,-261.537076209122,1007767068
0.00019,0.142857142857143,0.1,-10.8351547174233,3.15691226376774,0.562997806972888,1.72043447059736,-1.41716483054566,3.68e-05,5301405,276563.474142196,98437.266770989,0,0,0,0,0,-258.888233706105,249130187
0.00019,0.142857142857143,0.1,-10.5913444027907,3.32819154350646,0.692592284260895,2.3500368494181,-2.29997474103447,3.68e-05,5301405,276562.839618759,98441.4721488353,0,0,0,0,0,-252.110010861895,745591025
0.00019,0.142857142857143,0.1,0.786792813087464,1.5911050120849,0.409862930352452,6.04269333854456,6.33592817629933,3.68e-05,5301405,126561.5460162,248437.788568897,0,0,0,0,0,-198.53354819819,388388018
0.00019,0.142857142857143,0.1,0.799226356381145,1.59407798881037,0.411959162187271,6.04279288576445,6.282523158929,3.68e-05,5301405,126563.875606912,248438.734449097,0,0,0,0,0,-198.538578365564,469406867
0.00019,0.142857142857143,0.1,0.80032658363974,1.59354104463305,0.4104385988443,6.02656967325679,6.28727804354313,3.68e-05,5301405,126563.172418245,248436.988714758,0,0,0,0,0,-198.534905130119,903469170
0.00019,0.142857142857143,0.1,0.789389086300224,1.59337584456152,0.411321272974455,6.05004154106037,6.31360662939032,3.68e-05,5301405,126563.027102104,248437.166451141,0,0,0,0,0,-198.53934803697,307845117
0.00019,0.142857142857143,0.1,0.796942812082167,1.59250560936465,0.414303908208058,6.05917249963083,6.22531402507656,3.68e-05,5301405,126562.68006372,248438.897518544,0,0,0,0,0,-198.540599836335,235329811
0.00019,0.142857142857143,0.1,7.13231866478244,23.0682383748619,0.498823807562651,-0.48304373031863,0.798370972820698,3.68e-05,5301405,51563.4565969461,23437.7085398344,0,0,0,0,0,-352.340265988696,1818238
0.00019,0.142857142857143,0.1,7.89628091404899,30.0286794776722,0.326125685572038,-2.63323894547137,1.34335968352186,3.68e-05,5301405,51565.1755617065,23439.1519533685,0,0,0,0,0,-375.015035454648,97818087
0.00019,0.142857142857143,0.1,6.89047192741504,23.5181011670655,0.781848677125677,-0.88054069473137,0.28415417097167,3.68e-05,5301405,51562.6754657226,23438.4509144259,0,0,0,0,0,-352.43583915298,641250571
0.00019,0.142857142857143,0.1,7.52799006953088,7.95333553827028,0.764846279987416,2.06148626749449,1.95983809428669,3.67999999999999e-05,5301405,51564.7265015854,23438.6939168056,0,0,0,0,0,-273.196730650696,55600010
