"Beta_0","gamma","phi","sigma_P","sigma_M","rho","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0,0.0588235294117647,0.807188127842579,0.23452046875,133.884055341531,0.109483188192818,0.238371773327498,3.68e-05,5281842,421875.02366566,0,0,0,0.01721420632104,0,-423.169044698435,123495649
0,0.0588235294117647,2.18966480452006,0.73442546875,134.405417416084,0.0283572292359294,0.728386562942283,3.68e-05,5281842,121875.772414971,0,0,0,0.01721420632104,0,-423.158281259196,95891608
0,0.0588235294117647,1.76436417590059,0.73442546875,133.8592677357,0.0404603012941778,0.882457019518319,3.67999999999999e-05,5281842,121876.266370649,0,0,0,0.01721420632104,0,-423.169598803001,900785555
0,0.0588235294117647,2.14673562967026,0.73442546875,134.47510649655,0.0595077017680833,0.576939251706464,3.68e-05,5281842,121875.904472679,0,0,0,0.01721420632104,0,-423.156970480808,804418936
0,0.0588235294117647,1.7258044509704,0.73442546875,134.197697526866,0.0339953916388901,0.671479370644706,3.68e-05,5281842,121877.344660391,0,0,0,0.01721420632104,0,-423.16236655211,478692672
0,0.0588235294117647,1.18786986832697,0.73442546875,134.10828801075,0.0148003070358773,0.580340790599755,3.68e-05,5281842,121875.324530861,0,0,0,0.01721420632104,0,-423.16420756896,859677995
0,0.0588235294117647,1.41972264957209,0.98437796875,134.758218071066,0.113406325344722,0.0172203109158806,3.68e-05,5281842,571874.133439411,0,0,0,0.01721420632104,0,-423.151952397877,558892913
0,0.0588235294117647,1.23893117062174,0.98437796875,134.412528854782,0.0669644784705555,0.0141161426205403,3.68e-05,5281842,571876.019240251,0,0,0,0.01721420632104,0,-423.158146127132,831757301
0,0.0588235294117647,1.24326048728592,0.98437796875,134.578617795233,0.0643296115452621,0.0214642995448536,3.68e-05,5281842,571874.385747558,0,0,0,0.01721420632104,0,-423.155078758235,980376393
0,0.0588235294117647,1.23493146433439,0.98437796875,133.962321963502,0.0550101576240341,0.0185889135331325,3.68e-05,5281842,571873.961972841,0,0,0,0.01721420632104,0,-423.167320498488,749915268
0,0.0588235294117647,1.41445412619604,0.98437796875,134.657640189429,0.0426329461063791,0.0144113321267295,3.68e-05,5281842,571874.951212027,0,0,0,0.01721420632104,0,-423.153678870938,269111546
0,0.0588235294117647,2.97578894877968,0.48447296875,134.924078277995,0.143716568832665,0.440433387779109,3.68e-05,5281842,271874.310546006,0,0,0,0.01721420632104,0,-423.149239965773,96325326
0,0.0588235294117647,3.09481729753185,0.48447296875,133.955525312979,0.101317870952147,0.616783423468229,3.68e-05,5281842,271876.051323017,0,0,0,0.01721420632104,0,-423.167468700812,1063379217
0,0.0588235294117647,3.14371571506978,0.48447296875,134.247683072724,0.154291649226396,0.395063790308241,3.68e-05,5281842,271875.765163043,0,0,0,0.01721420632104,0,-423.161359006348,213405580
0,0.0588235294117647,2.75446471073357,0.48447296875,134.222611550876,0.174028935590065,0.581132536656297,3.68e-05,5281842,271875.706088212,0,0,0,0.01721420632104,0,-423.161862424077,226068720
