"E_0","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1,0.142857142857143,0.1,-11.8415548550715,0.70318140625,121.170419482012,0.258087932906926,0.238557685729775,-6.34551160366474,3.68e-05,5301405,98437.5390603477,0,0,0,0,0,-417.208201021214,174880477
1,0.142857142857143,0.1,-12.9091414452917,0.70318140625,120.651656887578,0.242071917380094,2.83749575477087,-6.53198903735039,3.68000000000001e-05,5301405,98439.2554445861,0,0,0,0,0,-417.220239309527,1008510996
1,0.142857142857143,0.1,-11.9247996958708,0.70318140625,120.886283824252,0.252480868595416,0.904003057301475,-5.38921385481682,3.68000000000001e-05,5301405,98439.2428054139,0,0,0,0,0,-417.125657091372,240944205
1,0.142857142857143,0.1,-12.8600914729399,0.70318140625,120.968826648814,0.321437982089317,1.54500161769226,-6.28404561843339,3.67999999999999e-05,5301405,98437.2309090079,0,0,0,0,0,-417.193296881971,13002572
1,0.142857142857143,0.1,2.3132834706425,0.20327640625,1.51261684025323,0.595481809537736,4.80195650459369,2.35508009010656,3.67999999999999e-05,5301405,248439.968358249,0,0,0,0,0,-196.903113093306,331832927
1,0.142857142857143,0.1,2.35068091170092,0.20327640625,1.51418972450382,0.566526503348074,4.77771060358787,2.37841224587492,3.68e-05,5301405,248437.037951331,0,0,0,0,0,-196.891877845214,478380908
1,0.142857142857143,0.1,-2.61627157980503,0.20327640625,1.41002765624298,0.665858018680883,1.05683535307017,-0.821485483714965,3.68000000000001e-05,5301405,248438.922340165,0,0,0,0,0,-198.471247018305,847257767
1,0.142857142857143,0.1,2.34493179929415,0.20327640625,1.51201444921676,0.566213292901502,4.77749110554311,2.39493974939173,3.68e-05,5301405,248438.036203044,0,0,0,0,0,-196.893648543695,519270470
1,0.142857142857143,0.1,-2.61053904162875,0.20327640625,1.40013789532347,0.628127993826302,0.856185421203733,-0.849579514869822,3.68e-05,5301405,248437.21824406,0,0,0,0,0,-198.108072966094,283317594
1,0.142857142857143,0.1,6.72006261729606,0.95313390625,2.07670154355856,0.721214666112332,6.7521119995569,1.5889545052474,3.68e-05,5301405,23439.481264973,0,0,0,0,0,-210.540030851292,974777654
1,0.142857142857143,0.1,2.57442562860163,0.95313390625,1.8248343774819,0.768109753109993,5.20903327235577,0.878480714608369,3.68e-05,5301405,23438.2216135003,0,0,0,0,0,-206.06108741696,405027266
1,0.142857142857143,0.1,6.52575313991177,0.95313390625,2.03744206749217,0.787005990010244,7.10740369125572,1.82236450427808,3.68e-05,5301405,23438.8152791921,0,0,0,0,0,-209.467443056842,737658781
1,0.142857142857143,0.1,6.14427009402716,0.95313390625,2.14516239966185,0.74443209989879,7.43212011096475,1.14352107857826,3.68e-05,5301405,23435.4224585769,0,0,0,0,0,-212.239170468711,279690188
1,0.142857142857143,0.1,2.88651034517199,0.95313390625,1.70967467857768,0.779719392451152,4.82269354058117,1.27762230065268,3.68e-05,5301405,23437.8420900092,0,0,0,0,0,-202.364336491476,431984867
1,0.142857142857143,0.1,-7.69184868571856,0.45322890625,10.1363302206272,0.114480535799106,-0.616192245548134,1.12892688942072,3.68e-05,5301405,173437.136521557,0,0,0,0,0,-300.811727219058,749488429
1,0.142857142857143,0.1,-5.15031445615059,0.45322890625,1.87350001992434,0.51853421672241,0.0023778484576151,-0.545906505573988,3.68e-05,5301405,173438.349722607,0,0,0,0,0,-207.935648013936,647156944
1,0.142857142857143,0.1,-7.5090468997095,0.45322890625,5.46457898138894,0.229147613455434,-0.0368408677788018,0.964779023828203,3.68e-05,5301405,173438.872172234,0,0,0,0,0,-273.735456385471,182974518
