"","sigma_P","gamma","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed","Profile_Type"
"11",0.32825265625,0.0588235294117647,-3.99199241622128,0.554587891508622,0.0283774717403869,-1.46744417875188,-3.02163726615599,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-166.450543631521,1029308752,"I_0"
"12",0.32825265625,0.0588235294117647,-4.11616195800708,0.575391540054095,0.0375163331557061,-1.36755864184001,-3.15349755577064,3.67999999999999e-05,5301405,186207.586206897,0,0,0,0,0,-167.33030494106,928931119,"I_0"
"13",0.32825265625,0.0588235294117647,-3.99171592214896,0.556031810529699,0.0285926557845168,-1.46521702303467,-3.02657420072418,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-166.435575699449,1036287184,"I_0"
"14",0.32825265625,0.0588235294117647,-3.99214952884159,0.553881720133524,0.0290365479191953,-1.4679741609101,-3.02099274900088,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-166.460037475814,58411680,"I_0"
"15",0.32825265625,0.0588235294117647,-4.03629970751322,0.551644494589151,0.0306517888583408,-1.44588152441906,-3.03966091142732,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-166.488899074933,608978491,"I_0"
"16",0.195465390625,0.0588235294117647,-3.9870802395798,0.557765076665189,0.0281620331117807,-1.47731833061942,-3.02411336377513,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-165.969750142172,596585481,"I_0"
"17",0.195465390625,0.0588235294117647,-3.98498252294165,0.556474932931192,0.0281689464389484,-1.47443710469959,-3.02261477679755,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-165.964953968538,392144824,"I_0"
"18",0.195465390625,0.0588235294117647,-3.98022115148082,0.554127435648045,0.0280527882375342,-1.47417592598241,-3.02410464186937,3.67999999999999e-05,5301405,186207.586206897,0,0,0,0,0,-165.939536149015,440473408,"I_0"
"19",0.195465390625,0.0588235294117647,-3.98768213753286,0.561344150567124,0.0281792567558071,-1.47492948828282,-3.0229760014857,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-165.965794955343,550544985,"I_0"
"20",0.195465390625,0.0588235294117647,-3.98812667813801,0.557200035674847,0.0279395284065435,-1.47133745631607,-3.02338728976949,3.68e-05,5301405,186207.586206897,0,0,0,0,0,-165.943702612179,372389073,"I_0"
"21",0.32825265625,0.0588235294117647,-4.02807793098275,0.554465422380159,0.0299809958476645,-1.43585601125675,-3.03904248454998,3.68e-05,5301405,206897.206896552,0,0,0,0,0,-166.449344920225,235539462,"I_0"
"22",0.32825265625,0.0588235294117647,-4.01674805418945,0.566253970144922,0.029535308863071,-1.4462581119098,-3.03269044855229,3.68000000000001e-05,5301405,206897.206896552,0,0,0,0,0,-166.457342330379,396858705,"I_0"
"23",0.32825265625,0.0588235294117647,-4.00353013081296,0.555760038213623,0.0293465669727457,-1.45339820927562,-3.03092345016127,3.68000000000001e-05,5301405,206897.206896552,0,0,0,0,0,-166.433010087552,260356071,"I_0"
