"","time","R_eff_median","R_eff_low_Q","R_eff_high_Q","combo_num"
"1421",181,0.482392548069218,0.474580442541192,0.488340888005543,34
"1422",212,0.43795926628724,0.430146331507895,0.443870640752628,34
"1423",243,0.480453516956032,0.471621783006973,0.487102827175864,34
"1424",273,0.640110896479466,0.62824433992099,0.649130190876065,34
"1425",304,0.958548466308886,0.940759075161739,0.972235566435488,34
"1426",334,1.39191958499124,1.36563401117345,1.41204327802778,34
"1427",365,1.76513767523473,1.73085349353142,1.79276091863443,34
"1428",396,1.73180956703934,1.68370283649124,1.76584735559725,34
"1429",424,1.38570075469099,1.27615074914922,1.43930635666997,34
"1430",455,0.934279551784975,0.798282013764657,1.00077595035884,34
"1431",485,0.626957211452218,0.523120280147572,0.687572606456906,34
"1432",516,0.449823013041232,0.37228179758493,0.495473016331025,34
"1433",546,0.359725347712633,0.297956005359525,0.396784523346223,34
"1434",577,0.328452410365498,0.272173584579783,0.362335254452509,34
"1435",608,0.361265724350748,0.299479599008462,0.398483692568002,34
"1436",638,0.482077596785417,0.399799843933264,0.531656395935861,34
"1437",669,0.722925525471012,0.599787932621131,0.797113455941951,34
"1438",699,1.05157591019617,0.872813878814584,1.15924171860088,34
"1439",730,1.34068805395656,1.11330678370218,1.47738122268039,34
"1440",761,1.34424238076329,1.11699052441804,1.48034943836223,34
"1441",790,1.1278657879201,0.937980202811943,1.24035918241976,34
"1442",821,0.834429064186229,0.694551433640482,0.915749898188286,34
"1443",851,0.600379821918788,0.500074594493694,0.657876246253507,34
"1444",882,0.442305437676086,0.368587207620077,0.484207955151954,34
"1445",912,0.358034102053186,0.298468505057478,0.391798311187533,34
"1446",943,0.329398951472489,0.274692709617155,0.360387774358757,34
"1447",974,0.365029111414166,0.304513745150155,0.399297571413072,34
"1448",1004,0.489841799555835,0.408761846559096,0.535738277163306,34
"1449",1035,0.735708804619646,0.614141207574716,0.804524935186128,34
"1450",1065,1.06750768641679,0.891411010181658,1.1671831281098,34
"1451",1096,1.35199793169677,1.12935555062711,1.47799960824153,34
"1452",1127,1.3460048895768,1.1247217151639,1.47122319893912,34
"1453",1155,1.13416615860887,0.947983622254484,1.23945908452608,34
"1454",1186,0.839635269397765,0.702045646408576,0.917404774857622,34
"1455",1216,0.604358511462424,0.50547702053638,0.660218068926274,34
"1456",1247,0.445300955137838,0.372578453553577,0.486382057780027,34
"1457",1277,0.360465673267799,0.301692548211063,0.393663334890823,34
"1458",1308,0.331631474556859,0.277655875955444,0.362126221537033,34
"1459",1339,0.367501449708966,0.307787053728409,0.401230434178458,34
"1460",1369,0.493151424208249,0.413154915378368,0.538343966737359,34
"1461",1400,0.740672021825454,0.620735529807864,0.808423345516774,34
"1462",1430,1.07469415800559,0.900966518582287,1.17284651591894,34
"1463",151,0.612072016690791,0.604205938049974,0.616903206330653,35
"1464",181,0.483832606241821,0.476579309931648,0.488918425806389,35
"1465",212,0.440135276475292,0.433488046938417,0.44475006423529,35
"1466",243,0.483202380365832,0.475750886863052,0.488449446734907,35
"1467",273,0.643179549526309,0.633147955329157,0.650204212332609,35
"1468",304,0.960846286962847,0.945797786085601,0.971594448681695,35
"1469",334,1.39113366921487,1.36860218152797,1.40720978973205,35
"1470",365,1.76055607924276,1.72767562285023,1.78302821713565,35
"1471",396,1.72444955681311,1.68401732980281,1.75842982191304,35
"1472",424,1.37674302731327,1.28862534532154,1.44264031856737,35
"1473",455,0.921564665764816,0.81175200983964,1.01326949694164,35
"1474",485,0.622659702968655,0.536507826782823,0.700102815301296,35
"1475",516,0.445869727193259,0.382162402514912,0.505574655565456,35
