"b_3","gamma","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-18,0.0588235294117647,0.14078828125,7.24343342069135,0.93017567804635,1.15453660234982,-2.25161850256145,3.68e-05,5301405,421876.113816987,0,0,0,0,0,-293.988392502628,426978126
-18,0.0588235294117647,0.14078828125,7.1016834245608,0.94382689394286,1.06721083372893,-2.08539772887723,3.68e-05,5301405,421876.052544567,0,0,0,0,0,-293.468054634586,989983654
-18,0.0588235294117647,0.64069328125,9.07584081403244,0.822652964139498,4.91668139820648,2.23474343733719,3.68e-05,5301405,121876.84333982,0,0,0,0,0,-302.632045895045,819928726
-18,0.0588235294117647,0.64069328125,8.6233806692346,0.83397174796776,5.20841702704686,2.46987611715933,3.68e-05,5301405,121876.961946809,0,0,0,0,0,-302.73366175334,624382693
-18,0.0588235294117647,0.64069328125,9.19273288267825,0.846035676223004,4.40670177721295,2.6367698823372,3.68e-05,5301405,121877.378965681,0,0,0,0,0,-302.661684970763,255853658
-18,0.0588235294117647,0.64069328125,10.0385460230793,0.7561039785657,5.55215106539638,2.12698093324806,3.68e-05,5301405,121873.292457063,0,0,0,0,0,-304.056663281977,820847781
-18,0.0588235294117647,0.64069328125,8.86426530049209,0.864670308103245,5.42002893799985,2.21458319500435,3.68e-05,5301405,121875.376624048,0,0,0,0,0,-301.971113239621,28623088
-18,0.0588235294117647,0.39074078125,7.62483005834693,0.866375137021329,2.61144614202995,-4.16623101802823,3.68e-05,5301405,571875.286638548,0,0,0,0,0,-297.244346285704,526940189
-18,0.0588235294117647,0.39074078125,8.33296947672954,0.875694092651275,2.64873209800768,-4.21729341609292,3.67999999999999e-05,5301405,571875.496524784,0,0,0,0,0,-297.11794690491,130187353
-18,0.0588235294117647,0.39074078125,7.40938476230203,0.884379953702315,2.36553470851939,-3.70219933689152,3.68e-05,5301405,571875.496265448,0,0,0,0,0,-295.536610820934,462642481
