"b_3","gamma","mu_EI","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-18,0.142857142857143,0.1,0.73442546875,10.85033096617,0.830018111577056,5.06333840529297,2.73950356628882,3.68e-05,5301405,126564.521660442,248438.071957993,0,0,0,0,0,-297.878497174575,633338716
-18,0.142857142857143,0.1,0.98437796875,119.993072920603,0.165985014574932,-3.21969820791546,1.30777278612114,3.68e-05,5301405,51562.7538551148,23439.6960495885,0,0,0,0,0,-416.901614513167,66186491
-18,0.142857142857143,0.1,0.98437796875,120.294866767353,0.123051230380246,-3.08103754865148,0.678929872510908,3.68000000000001e-05,5301405,51564.9063142696,23438.289473786,0,0,0,0,0,-416.919106029769,286942477
-18,0.142857142857143,0.1,0.98437796875,120.024653580345,0.205748767854495,-2.11422370721431,0.285040116828804,3.68e-05,5301405,51562.6129319406,23438.2202081295,0,0,0,0,0,-416.911456690553,450627852
-18,0.142857142857143,0.1,0.98437796875,119.946572238222,0.118583975557112,-3.14876162923109,0.317402470299813,3.67999999999999e-05,5301405,51562.2682538039,23438.2629885155,0,0,0,0,0,-416.932357978975,566247313
-18,0.142857142857143,0.1,0.98437796875,120.344506576678,0.120338920423106,-3.22969171775763,1.08377698029869,3.68e-05,5301405,51565.6795613031,23436.9401602253,0,0,0,0,0,-416.91137809444,272741118
-18,0.142857142857143,0.1,0.48447296875,120.396733652376,0.350772250675636,1.29707074713102,-5.29879739046538,3.68e-05,5301405,201563.973800974,173437.982439664,0,0,0,0,0,-416.866240467467,630396860
-18,0.142857142857143,0.1,0.48447296875,115.312624025517,0.134937630833141,1.96879382919909,-6.35023179990356,3.68e-05,5301405,201562.426778641,173436.09234302,0,0,0,0,0,-412.838496285167,1067618546
-18,0.142857142857143,0.1,0.48447296875,13.6094464477677,0.374733677499824,4.55037463301851,-5.28094722083037,3.67999999999999e-05,5301405,201563.376666882,173437.03409454,0,0,0,0,0,-311.20638451575,336848832
-18,0.142857142857143,0.1,0.48447296875,96.4223803894663,0.414894913913065,2.42925766965381,-5.48979935792233,3.68e-05,5301405,201561.682291212,173437.33846395,0,0,0,0,0,-398.017038416615,357004888
-18,0.142857142857143,0.1,0.48447296875,114.542189441677,0.549865914122269,2.29551226747113,-6.43681401744111,3.68e-05,5301405,201562.530499793,173439.860968413,0,0,0,0,0,-405.459144275326,45806540
-18,0.142857142857143,0.1,0.79691359375,0.0114482917912424,0.149378199994093,2.75959249515574,-5.57092812697554,3.67999999999999e-05,5301405,32813.3520916738,154686.748697787,0,0,0,0,0,-984.221268091312,420857895
-18,0.142857142857143,0.1,0.79691359375,0.0148538987952527,0.144374415084067,3.19931909576349,-4.844742667384,3.68e-05,5301405,32812.5553695026,154688.05846418,0,0,0,0,0,-984.501352282366,940266517
-18,0.142857142857143,0.1,0.79691359375,0.0103843265650422,0.14928429673004,3.12129041646627,-5.61756250722023,3.68e-05,5301405,32813.9941303049,154687.723078656,0,0,0,0,0,-984.204047730985,161492331
-18,0.142857142857143,0.1,0.79691359375,0.011034265313436,0.149829080036988,2.87669658418222,-5.6935887536051,3.68e-05,5301405,32812.8439977783,154688.455910117,0,0,0,0,0,-984.193366259209,63137682
-18,0.142857142857143,0.1,0.79691359375,0.0557951566031504,0.128095068560514,4.07695845205141,-3.63165256573411,3.68000000000001e-05,5301405,32812.947104919,154687.024832293,0,0,0,0,0,-941.489908488055,727436982
