"I_0","gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","R_0","C_0","r","omega","epsilon","LL","seed"
537931.137931035,0.0588235294117647,1.48548352323134,0.51571703125,2.97252093859557,0.578903791558221,0.102165275741512,0.0601553302433672,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-223.743027704797,133133585
537931.137931035,0.0588235294117647,1.18978737530961,0.51571703125,0.642872329734468,0.043022010335531,0.0749165487664668,0.740129508307932,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-171.481921721943,1017934739
537931.137931035,0.0588235294117647,1.1870530840892,0.01581203125,0.681014106571542,0.0471713471015044,0.0758134239678576,0.764976739218995,3.68e-05,5281842,0,0,0,0.01721420632104,0,-170.598238664868,869217200
537931.137931035,0.0588235294117647,1.19376842744915,0.01581203125,0.680122548969081,0.0455554448313062,0.0758313824119979,0.753040494965435,3.68e-05,5281842,0,0,0,0.01721420632104,0,-170.568531992002,958751185
537931.137931035,0.0588235294117647,1.19520863151651,0.01581203125,0.680117381089199,0.045264884202318,0.0759869803590205,0.751173752571652,3.68e-05,5281842,0,0,0,0.01721420632104,0,-170.605306097099,30191060
537931.137931035,0.0588235294117647,1.19277202231409,0.01581203125,0.680131293720457,0.0447308607670792,0.0760622804955903,0.749182582505622,3.68e-05,5281842,0,0,0,0.01721420632104,0,-170.598920301084,844142392
537931.137931035,0.0588235294117647,1.1898132373794,0.01581203125,0.67915376737172,0.046722206382706,0.0757975270866764,0.760977708797283,3.68e-05,5281842,0,0,0,0.01721420632104,0,-170.584779256242,208104467
537931.137931035,0.0588235294117647,1.14522247765981,0.89064578125,0.567084019181478,0.0357694484297507,0.0770402109024767,0.717969922897571,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.415759328777,850995030
537931.137931035,0.0588235294117647,1.14974448911689,0.89064578125,0.562227368733854,0.0359463596594098,0.0764587923457736,0.716904314563506,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.406320578641,890725510
537931.137931035,0.0588235294117647,1.14539403902303,0.89064578125,0.573482523526608,0.0365421954060204,0.0757657100638785,0.714645342292032,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.400278845269,256160146
537931.137931035,0.0588235294117647,1.14560545394774,0.89064578125,0.563617578191515,0.035841575287688,0.0763812172524705,0.711464347958428,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.414569842689,743483972
537931.137931035,0.0588235294117647,1.14749077246709,0.89064578125,0.559284342483611,0.0361184004559848,0.0759236619797042,0.71640205614448,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.377734286745,618460115
