"I_0","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","R_0","C_0","r","g","epsilon","LL","seed"
1,0.142857142857143,0.1,4.81167760739894,0.51571703125,1.88921387433605,0.287530701851721,8.57216390266634,5.15008559221393,3.68e-05,5301405,117188.440974047,0,0,0,0,0,-205.72054899166,443196572
1,0.142857142857143,0.1,5.44244628657606,0.51571703125,1.90195946307675,0.299542740393836,8.07113391246675,4.62196962249531,3.68e-05,5301405,117186.133859066,0,0,0,0,0,-205.933358264703,995379091
1,0.142857142857143,0.1,5.10691795182351,0.51571703125,1.89860165231259,0.298946189592702,9.97457010870704,4.18294466711487,3.68e-05,5301405,117188.142562959,0,0,0,0,0,-205.929451495825,731392229
1,0.142857142857143,0.1,6.30513045683825,0.51571703125,1.89486526017806,0.296093180072541,8.96026585838592,4.40594869896568,3.68e-05,5301405,117188.061818935,0,0,0,0,0,-205.903933056418,424939101
1,0.142857142857143,0.1,-0.281277488779185,0.26576453125,0.0627919520163134,0.336302506344367,6.6813270050249,2.62912843175363,3.68e-05,5301405,192188.858637565,0,0,0,0,0,-765.995895767627,753893394
1,0.142857142857143,0.1,-0.768504461757693,0.26576453125,0.00661881295041219,0.368814982589681,7.36612114358517,2.07203867811245,3.67999999999999e-05,5301405,192189.003684543,0,0,0,0,0,-780.231781746109,867146045
1,0.142857142857143,0.1,0.961374014877694,0.26576453125,0.00544533144692872,0.299377796655395,6.35422843291138,2.34349298783986,3.68e-05,5301405,192188.439472601,0,0,0,0,0,-729.814469190191,668029701
1,0.142857142857143,0.1,-0.239313421467466,0.26576453125,0.0293736858294888,0.386964691383418,6.13165579826541,2.7334665681123,3.68e-05,5301405,192187.985617167,0,0,0,0,0,-764.864126593561,171969613
1,0.142857142857143,0.1,1.23039571959688,0.26576453125,0.0401113939503277,0.318414095070933,6.54209104354776,2.45773522917096,3.68e-05,5301405,192187.921059547,0,0,0,0,0,-725.815528790996,291006312
1,0.142857142857143,0.1,-12.8067691979704,0.76566953125,120.935111176982,0.13854238313181,-0.743576814718153,-5.20823075957847,3.68e-05,5301405,42189.2165094886,0,0,0,0,0,-416.95566007576,622230047
1,0.142857142857143,0.1,-14.1394739790903,0.76566953125,119.988008447867,0.138030655655806,-0.785939386080645,-5.00362050890342,3.68000000000001e-05,5301405,42187.9257102129,0,0,0,0,0,-416.968527327678,663501401
1,0.142857142857143,0.1,-13.7422111438553,0.76566953125,117.668232518098,0.191851095971592,-0.468484976745728,-4.89151286294322,3.68e-05,5301405,42187.9142150831,0,0,0,0,0,-417.012352834607,97101255
1,0.142857142857143,0.1,-13.7517813640951,0.76566953125,120.738563525101,0.149594188586504,-1.36674883599065,-4.77630547367395,3.67999999999999e-05,5301405,42188.8842717236,0,0,0,0,0,-416.954394118465,969981937
1,0.142857142857143,0.1,-13.6397690009805,0.76566953125,120.545478152881,0.0973438751304227,-0.636249982919546,-4.72667980087773,3.68e-05,5301405,42189.3528647832,0,0,0,0,0,-416.978880461646,883409627
1,0.142857142857143,0.1,-10.1385189249124,0.98437796875,10.215515107206,0.70413623530367,2.59477918226129,0.69309253012441,3.67999999999999e-05,5301405,107812.215236149,0,0,0,0,0,-290.999912828209,554460020
1,0.142857142857143,0.1,-9.4644713947293,0.98437796875,10.2943768595018,0.50145968188412,2.5584146858023,-1.31395196765161,3.68e-05,5301405,107812.108288578,0,0,0,0,0,-287.935393760701,382990920
1,0.142857142857143,0.1,-9.86884142045866,0.98437796875,10.2493231856904,0.640912827656012,2.91422897832581,0.560655777416707,3.68e-05,5301405,107811.655162509,0,0,0,0,0,-291.233359409987,893092835
1,0.142857142857143,0.1,-8.19736846079482,0.98437796875,9.9485137451855,0.65200192810392,2.07664927105822,0.394756824738111,3.68e-05,5301405,107811.54940081,0,0,0,0,0,-287.606778024771,315000489
1,0.142857142857143,0.1,-9.10131509371197,0.98437796875,10.2294061212867,0.650282442888172,2.74323052189296,0.751134081737502,3.68e-05,5301405,107813.972205722,0,0,0,0,0,-289.713540464175,772652757
1,0.142857142857143,0.1,2.4463200041347,0.48447296875,2.51737753784113,0.59202215818572,3.34462628049918,5.31151962192299,3.68000000000001e-05,5301405,257813.905193852,0,0,0,0,0,-214.07784199966,237700545
1,0.142857142857143,0.1,2.12528279238626,0.48447296875,1.60044710765561,0.566969752593078,4.60724849176877,4.00703765160836,3.67999999999999e-05,5301405,257812.235265897,0,0,0,0,0,-199.174379398284,507141053
1,0.142857142857143,0.1,1.39503455195768,0.48447296875,1.61016261424134,0.344558669367169,5.36060728338096,6.27429705419178,3.68e-05,5301405,257814.004106113,0,0,0,0,0,-199.107370555844,194026570
1,0.142857142857143,0.1,2.2467347220389,0.48447296875,1.55357621741187,0.514549424062187,4.68280330081274,3.32493836501259,3.68e-05,5301405,257812.032395829,0,0,0,0,0,-198.081624255156,1046016950
1,0.142857142857143,0.1,2.05784599668976,0.48447296875,2.09233452138579,0.426004108913888,3.7208572504928,6.16836093483502,3.68e-05,5301405,257813.012658835,0,0,0,0,0,-208.776330094265,235997402
1,0.142857142857143,0.1,-4.36014283435387,0.73442546875,18.048160621959,0.408638431361216,-0.436558357482532,-4.63162468346557,3.68e-05,5301405,32814.1374297197,0,0,0,0,0,-329.103238664399,204449332
1,0.142857142857143,0.1,-4.92207926839334,0.73442546875,10.2501139107836,0.272506082874277,0.058717295943392,-3.39002100303358,3.68e-05,5301405,32813.2164770087,0,0,0,0,0,-285.036325235502,408643434
1,0.142857142857143,0.1,-3.21330020442765,0.73442546875,0.654505054966377,0.526894938906688,-0.34646041342204,-3.10046740406595,3.68e-05,5301405,32814.9969540306,0,0,0,0,0,-173.500363924143,991699998
1,0.142857142857143,0.1,-3.01198514759998,0.73442546875,0.537259078354437,0.315792647504904,-0.513643326469445,-3.04028568201151,3.68e-05,5301405,32813.4428456102,0,0,0,0,0,-171.888194116681,363072243
1,0.142857142857143,0.1,-3.01786574513657,0.73442546875,0.57055340146415,0.439283031147259,-0.514242751646158,-3.06509996070305,3.68e-05,5301405,32812.7158427339,0,0,0,0,0,-172.273617974512,243883962
1,0.142857142857143,0.1,-16.0066713620424,0.23452046875,10.638773313655,0.697338158280544,3.43152268210542,2.78748253458392,3.68e-05,5301405,182814.554781072,0,0,0,0,0,-296.966421775311,619348839
1,0.142857142857143,0.1,-15.8371453537752,0.23452046875,10.5830923158359,0.857420760566838,3.69820354446586,3.33702665550466,3.68e-05,5301405,182810.57235104,0,0,0,0,0,-295.597872035051,68070831
1,0.142857142857143,0.1,-15.8180320317425,0.23452046875,10.5271490496235,0.874721840888244,3.13450833517613,3.37656272771904,3.68e-05,5301405,182812.520581208,0,0,0,0,0,-295.674693498742,271396184
1,0.142857142857143,0.1,-14.4440608470275,0.23452046875,10.5731432110623,0.854071818596822,4.07355009534256,2.88519488245677,3.68e-05,5301405,182813.301820794,0,0,0,0,0,-294.594835275491,916340808
1,0.142857142857143,0.1,-16.557182287828,0.23452046875,10.6033963953269,0.864770032317146,4.04276744741597,3.59793143331513,3.68e-05,5301405,182812.82668091,0,0,0,0,0,-296.025728367986,503734593
1,0.142857142857143,0.1,0.820120290506426,0.85940171875,1.59629626009664,0.406011311186861,6.05367069247328,6.25239549713825,3.68e-05,5301405,70315.0849715766,0,0,0,0,0,-198.735420243431,511962302
1,0.142857142857143,0.1,0.841084403711683,0.85940171875,1.59371207590363,0.402659266592099,6.02246477169608,6.27405277636102,3.68e-05,5301405,70313.1652766371,0,0,0,0,0,-198.729563468138,1015243651
1,0.142857142857143,0.1,2.31915714978777,0.85940171875,1.52630789473725,0.502996816067302,4.82063157909311,2.59224720890317,3.67999999999999e-05,5301405,70311.6223720262,0,0,0,0,0,-197.757276243319,550341022
1,0.142857142857143,0.1,0.815937222685322,0.85940171875,1.59025044354757,0.408455466818133,6.07711086134525,6.20441051230808,3.68e-05,5301405,70313.4764263557,0,0,0,0,0,-198.735425269477,196857559
1,0.142857142857143,0.1,0.819057688323422,0.85940171875,1.5932731570949,0.403471189613985,6.05555108750887,6.27617693198522,3.67999999999999e-05,5301405,70313.2968586398,0,0,0,0,0,-198.729307312851,616376585
1,0.142857142857143,0.1,-2.88395623176127,0.35949671875,0.627290393503382,0.0423291825361839,-0.37969674217593,-2.81821931242891,3.68e-05,5301405,220310.742009159,0,0,0,0,0,-168.637553085272,980799703
1,0.142857142857143,0.1,-3.04694931406297,0.35949671875,0.714375251518612,0.10319869269005,-0.307281305390855,-3.06954218336264,3.67999999999999e-05,5301405,220313.264624021,0,0,0,0,0,-174.042659786158,76895400
1,0.142857142857143,0.1,-3.11957383471163,0.35949671875,0.777269609386449,0.16540495165391,-0.2993896086721,-3.09250806295418,3.68e-05,5301405,220310.714786366,0,0,0,0,0,-176.364438593087,104570226
