"phi","gamma","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0,0.0588235294117647,0.51571703125,1.36998532632555,0.153031805540239,0.0648328964370443,0.119189788371829,3.67999999999999e-05,5281842,196875.13743103,0,0,0,0.01721420632104,0,-196.342999150968,828260616
0,0.0588235294117647,0.14078828125,1.69471387736823,0.697791418100504,0.0665402668692292,0.0987258872226398,3.68e-05,5281842,421874.922415489,0,0,0,0.01721420632104,0,-211.263401759393,803635791
0,0.0588235294117647,0.14078828125,1.61464935521347,0.80822003189763,0.0661957923708648,0.0814804745388569,3.68e-05,5281842,421874.706914982,0,0,0,0.01721420632104,0,-209.393094668648,561571498
0,0.0588235294117647,0.14078828125,1.74375096060206,0.671316495339532,0.0669051363435445,0.0807685057243822,3.68e-05,5281842,421874.038857749,0,0,0,0.01721420632104,0,-211.08202923717,539660586
0,0.0588235294117647,0.14078828125,1.76329875896507,0.623080178495493,0.0666729199823083,0.056242709594525,3.68e-05,5281842,421874.61328841,0,0,0,0.01721420632104,0,-210.886003028191,995748014
0,0.0588235294117647,0.14078828125,1.73655969969032,0.54157197735986,0.068075616283267,0.0787105576297975,3.68e-05,5281842,421877.054550476,0,0,0,0.01721420632104,0,-213.888672468067,692773614
0,0.0588235294117647,0.64069328125,1.3415487247778,0.139960528098758,0.0606945556275336,0.224383043752965,3.68e-05,5281842,121874.530001923,0,0,0,0.01721420632104,0,-194.731382186963,276900592
0,0.0588235294117647,0.64069328125,1.30119314747031,0.0933991312746016,0.0628727718124085,0.165493210084699,3.68e-05,5281842,121875.502055099,0,0,0,0.01721420632104,0,-194.122346392148,1073179670
0,0.0588235294117647,0.64069328125,1.36115998927253,0.197263869223814,0.0590331553371237,0.256494850922416,3.68e-05,5281842,121877.73326434,0,0,0,0.01721420632104,0,-195.188766024624,116715088
0,0.0588235294117647,0.64069328125,1.29218292484056,0.072640157557949,0.0655459680092803,0.16907745178485,3.68e-05,5281842,121876.299712252,0,0,0,0.01721420632104,0,-193.823235283386,655129779
0,0.0588235294117647,0.64069328125,1.20470903713421,0.0374036945842807,0.0702080100848303,0.153096124292029,3.68e-05,5281842,121875.772764594,0,0,0,0.01721420632104,0,-193.282976620903,738295505
0,0.0588235294117647,0.39074078125,2.96366232776073,0.147828906682641,0.0955944225742622,0.00898461270595785,3.68000000000001e-05,5281842,571873.233323147,0,0,0,0.01721420632104,0,-251.586639586829,907340071
0,0.0588235294117647,0.39074078125,5.22146279513026,0.0447312496924825,0.0897904059493015,0.0128563473877589,3.67999999999999e-05,5281842,571874.452161399,0,0,0,0.01721420632104,0,-270.019970651205,894353697
0,0.0588235294117647,0.39074078125,2.94102318718545,0.157519145995202,0.0765878627642751,0.0215025377330189,3.68e-05,5281842,571874.796464135,0,0,0,0.01721420632104,0,-231.309964317193,894030323
0,0.0588235294117647,0.39074078125,3.21261071895286,0.134278563958881,0.088180335869712,0.0170113768579625,3.68e-05,5281842,571874.685186808,0,0,0,0.01721420632104,0,-247.109892255029,668509866
0,0.0588235294117647,0.39074078125,3.58196349910917,0.178035034244962,0.0885069563077921,0.030088970038547,3.68e-05,5281842,571874.934837098,0,0,0,0.01721420632104,0,-240.945920748387,363615183
0,0.0588235294117647,0.89064578125,1.21925917283026,0.0513819569576945,0.0717416735437292,0.141438645357717,3.68e-05,5281842,271877.979702174,0,0,0,0.01721420632104,0,-196.110890958666,157364527
0,0.0588235294117647,0.89064578125,1.17461674527079,0.0368799842150456,0.0722269202569602,0.166778311588508,3.68e-05,5281842,271875.624447119,0,0,0,0.01721420632104,0,-196.040869583202,1020189935
0,0.0588235294117647,0.89064578125,1.22492689456249,0.0379811362504199,0.073377897968285,0.151356433044893,3.68e-05,5281842,271874.087065807,0,0,0,0.01721420632104,0,-196.263210456113,698824223
0,0.0588235294117647,0.89064578125,1.1855428087901,0.0558051360925084,0.0697705451535326,0.123692707475379,3.68e-05,5281842,271874.223088821,0,0,0,0.01721420632104,0,-196.230181674907,443181723
0,0.0588235294117647,0.89064578125,1.19907499008672,0.0525798717055353,0.0707539977335384,0.148231913871698,3.68e-05,5281842,271876.314956002,0,0,0,0.01721420632104,0,-196.124190428404,1022574608
0,0.0588235294117647,0.07830015625,1.63748199566907,0.855095160889573,0.0649333613887835,0.0600116972146698,3.68e-05,5281842,384376.865840054,0,0,0,0.01721420632104,0,-206.302321479617,784745985
0,0.0588235294117647,0.07830015625,1.62230545740024,0.848121603812239,0.0647857976151195,0.046564153115153,3.68e-05,5281842,384377.963037925,0,0,0,0.01721420632104,0,-206.042428450299,414802543
0,0.0588235294117647,0.07830015625,1.60820059307824,0.881705480442203,0.0645614629993911,0.0298546426142983,3.68e-05,5281842,384375.778284351,0,0,0,0.01721420632104,0,-205.535311744705,242637352
