"sigma_M","gamma","phi","sigma_P","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
1e-04,0.0588235294117647,2.15300079400871,0.29700859375,0.661137258460766,0.70020433288891,0.0897614717100027,3.67999999999999e-05,5281842,84374.549525203,0,0,0,0.01721420632104,0,-849.750571981782,402747933
1e-04,0.0588235294117647,2.23849764772627,0.29700859375,0.663683297809821,0.6959274271018,0.128966606832537,3.67999999999999e-05,5281842,84375.8694244771,0,0,0,0.01721420632104,0,-849.91762493192,287837360
9.99999999999999e-05,0.0588235294117647,2.03446007328897,0.04705609375,0.159450649689577,2.36384115886159,0.901170835877825,3.67999999999999e-05,5281842,534374.107917713,0,0,0,0.01721420632104,0,-623.353018399791,520335891
1e-04,0.0588235294117647,2.62973054326446,0.04705609375,0.167746433351607,2.94864353519364,0.883590545714627,3.68e-05,5281842,534374.005751934,0,0,0,0.01721420632104,0,-594.724559821716,697794165
1e-04,0.0588235294117647,2.05973697559458,0.04705609375,0.126456865717188,2.1857818075235,0.894044189281609,3.68e-05,5281842,534376.334125389,0,0,0,0.01721420632104,0,-608.00013103034,273839564
1e-04,0.0588235294117647,2.48092510422884,0.04705609375,0.196016904336612,2.56240846643294,0.839110446843369,3.68e-05,5281842,534376.443363771,0,0,0,0.01721420632104,0,-591.050284208055,305672020
1e-04,0.0588235294117647,1.83465490434468,0.04705609375,0.33311237981657,2.45425679398657,0.82535136261841,3.68e-05,5281842,534376.0475751,0,0,0,0.01721420632104,0,-600.539698525766,931309969
1e-04,0.0588235294117647,3.50333378893917,0.54696109375,0.0102499354362615,0.301021798164995,0.220531816016037,3.67999999999999e-05,5281842,234376.013632848,0,0,0,0.01721420632104,0,-987.053397891386,644102117
1e-04,0.0588235294117647,2.21740005509192,0.54696109375,0.330224493611754,1.84574946391123,0.660366584389743,3.68e-05,5281842,234375.329846874,0,0,0,0.01721420632104,0,-575.337477928535,1059200212
1e-04,0.0588235294117647,1.41354365534298,0.54696109375,0.00247522900982618,0.229778195816325,0.480054069414582,3.68e-05,5281842,234376.096818035,0,0,0,0.01721420632104,0,-794.973189808421,365925578
