"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.00019,0.0588235294117647,1.18809542389402,0.629551039784595,0.0376199424497931,0.0725945999445629,0.718575953597376,3.68e-05,5281842,421874.633524504,0,0,0,0.01721420632104,0,-168.33773896126,691447765
0.00019,0.0588235294117647,1.18731076571079,0.633269123158209,0.037529300855666,0.0726240860975392,0.719942530627109,3.68e-05,5281842,421875.39228285,0,0,0,0.01721420632104,0,-168.342299510919,264051079
0.00019,0.0588235294117647,1.18810253792007,0.632923575400993,0.0374731181921248,0.0726528950410581,0.718035923138012,3.68e-05,5281842,421875.002247996,0,0,0,0.01721420632104,0,-168.349405980292,279473420
0.00019,0.0588235294117647,1.12159720840714,0.610114857517972,0.0248739956237749,0.0678288381373473,0.594903613927198,3.68e-05,5281842,121874.352745917,0,0,0,0.01721420632104,0,-167.416556747222,499992143
0.00019,0.0588235294117647,1.12346428139317,0.599961195653618,0.0248510248256101,0.0678200452400323,0.595807055429987,3.68e-05,5281842,121877.011478614,0,0,0,0.01721420632104,0,-167.410319505474,527493546
0.00019,0.0588235294117647,1.04112576962215,0.81280126065744,0.0651825456371672,0.0683978894733571,0.819954382297278,3.68e-05,5281842,121875.419714579,0,0,0,0.01721420632104,0,-174.791579804172,571826628
0.00019,0.0588235294117647,1.12344165748299,0.611757495113028,0.0250663683794851,0.067839082208125,0.598372609035519,3.68e-05,5281842,121875.918053837,0,0,0,0.01721420632104,0,-167.438681082696,1050634048
0.00019,0.0588235294117647,1.09001676913742,0.71657297232061,0.041322241950908,0.0678639052422755,0.721159916047601,3.68e-05,5281842,121875.762143162,0,0,0,0.01721420632104,0,-170.364046146721,874891269
0.00019,0.0588235294117647,1.73345161509107,1.84559523265701,0.66213032130913,0.070578704909558,0.0828510810136443,3.68e-05,5281842,571875.64895429,0,0,0,0.01721420632104,0,-211.624104591003,591414297
0.00019,0.0588235294117647,1.69030736632276,1.71741549624651,0.672318261508581,0.0713069566870879,0.093275921150359,3.68e-05,5281842,571875.212673321,0,0,0,0.01721420632104,0,-210.2120478771,315107195
0.00019,0.0588235294117647,1.6401230067727,2.16084383372626,0.639914731685101,0.0687183523538198,0.0250739972967227,3.68e-05,5281842,571874.12766983,0,0,0,0.01721420632104,0,-221.76899020023,19377934
0.00019,0.0588235294117647,1.25711090855626,0.795274040144646,0.0626495066498408,0.0719925014569404,0.687818212135687,3.68e-05,5281842,571875.929496417,0,0,0,0.01721420632104,0,-174.197446220444,520284704
0.00019,0.0588235294117647,1.50741113875933,2.23299965220557,0.606752757221316,0.0680612254171095,0.0120018401848818,3.68e-05,5281842,571874.451760068,0,0,0,0.01721420632104,0,-225.025004942171,223621652
0.00019,0.0588235294117647,1.18052427574282,0.580027796144391,0.0299902068396953,0.0693606029702189,0.668788204437034,3.68e-05,5281842,271874.362769239,0,0,0,0.01721420632104,0,-166.102512071106,152280604
0.00019,0.0588235294117647,1.17519949264265,0.584181921862037,0.029916120369188,0.0693718494181,0.670220714510804,3.68e-05,5281842,271875.1669748,0,0,0,0.01721420632104,0,-166.089440999048,330281988
0.00019,0.0588235294117647,1.17656513872576,0.574284543915333,0.0297113671469692,0.0694810793634058,0.66667075199322,3.67999999999999e-05,5281842,271873.900057038,0,0,0,0.01721420632104,0,-166.119595127225,285764051
