"sigma_M","gamma","mu_EI","b_3","sigma_P","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1e-04,0.142857142857143,0.1,-7.88482004405748,0.82815765625,0.479806092504174,7.27882862102468,-3.47518509418754,3.67999999999999e-05,5301405,239061.362572834,135936.494436521,0,0,0,0,0,-790.10889421294,408264132
1e-04,0.142857142857143,0.1,-6.50225593059716,0.82815765625,0.0628213392880973,8.43419611806326,-3.59878600116464,3.67999999999999e-05,5301405,239062.300079137,135939.277964032,0,0,0,0,0,-919.629430489683,68666268
1e-04,0.142857142857143,0.1,-6.6749148117802,0.82815765625,0.486335657909334,6.69458955243004,-3.81146123735925,3.67999999999999e-05,5301405,239064.450055845,135939.419201327,0,0,0,0,0,-791.063691403772,831277410
1e-04,0.142857142857143,0.1,2.29258788390337,0.32825265625,0.00276616110889315,1.61411211722913,-7.8636931120987,3.67999999999999e-05,5301405,89063.6535829689,285937.387085627,0,0,0,0,0,-948.070627901399,394947397
1e-04,0.142857142857143,0.1,2.34810024051797,0.32825265625,0.00277713910062414,1.50716046338076,-7.9212831713954,3.67999999999999e-05,5301405,89062.9337953899,285937.782173468,0,0,0,0,0,-948.077295837527,892830547
1e-04,0.142857142857143,0.1,2.39218382533896,0.32825265625,0.00278037706743343,1.36975035641883,-7.96023875515206,3.67999999999999e-05,5301405,89063.3188272736,285937.34123282,0,0,0,0,0,-948.087225947035,910429472
1e-04,0.142857142857143,0.1,2.61586361578204,0.32825265625,0.00293952085677458,1.52815021019435,-8.37084993107086,3.67999999999999e-05,5301405,89062.7010435566,285937.31617641,0,0,0,0,0,-948.090286462932,352290366
1e-04,0.142857142857143,0.1,2.45857266748776,0.32825265625,0.00283427171222446,1.40515724848514,-8.07950804413259,3.67999999999999e-05,5301405,89063.3456076572,285938.040760971,0,0,0,0,0,-948.076783321592,451703058
1e-04,0.142857142857143,0.1,-13.0832091090017,0.70318140625,0.28785874581603,-0.554821837695269,-4.54246017299951,3.67999999999999e-05,5301405,276562.521103719,98437.9432943853,0,0,0,0,0,-983.930064765097,826298291
1e-04,0.142857142857143,0.1,-12.7373498474281,0.70318140625,0.289122232546993,-0.351627745699327,-4.77025418722253,3.67999999999999e-05,5301405,276562.536431064,98438.4649729491,0,0,0,0,0,-983.918116121014,877925956
1e-04,0.142857142857143,0.1,-13.0143619159651,0.70318140625,0.284001865205816,-0.489753546085553,-4.3766132971013,3.67999999999999e-05,5301405,276563.204707266,98438.9882971109,0,0,0,0,0,-983.967350074176,756033267
1e-04,0.142857142857143,0.1,-12.9683189455895,0.70318140625,0.290492119680609,-0.525361465166093,-4.75667403707532,3.67999999999999e-05,5301405,276562.194873,98438.1304487146,0,0,0,0,0,-983.910792319575,347020954
1e-04,0.142857142857143,0.1,-13.1359253372183,0.70318140625,0.289105764822225,-0.480367852995471,-4.60394277494881,3.67999999999999e-05,5301405,276562.16428699,98438.2014623928,0,0,0,0,0,-983.920852943777,20301452
1e-04,0.142857142857143,0.1,2.49800041864993,0.20327640625,0.0145079527030996,4.7019587437989,4.12804391421744,3.68e-05,5301405,126563.063833919,248437.935112746,0,0,0,0,0,-725.501870396319,903525344
1e-04,0.142857142857143,0.1,2.47618039273495,0.20327640625,0.0148104367365232,4.70999124923304,4.2041314365293,3.68e-05,5301405,126564.681841936,248436.984426937,0,0,0,0,0,-724.729241490511,288820720
1e-04,0.142857142857143,0.1,2.44517208689466,0.20327640625,0.0147046771006058,4.86677945860869,4.12841391725245,3.68e-05,5301405,126564.507703796,248437.046082136,0,0,0,0,0,-725.621139570601,839140436
