"rho","gamma","b_3","sigma_P","sigma_M","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.15,0.0588235294117647,-5.00340186758552,0.23452046875,0.865035345662854,-0.804863086299172,-3.44667047870911,3.68e-05,5301405,421875.225853672,0,0,0,0,0,-178.253260098911,492759123
0.15,0.0588235294117647,-4.92360714958615,0.23452046875,0.85631053201751,-0.867552551755415,-3.46929163291657,3.68e-05,5301405,421876.209244347,0,0,0,0,0,-177.707422691169,423351372
0.15,0.0588235294117647,-5.19492173102867,0.23452046875,0.926509087132646,-0.707452385127906,-3.34216041794832,3.68e-05,5301405,421877.467261994,0,0,0,0,0,-179.659121518278,702614049
0.15,0.0588235294117647,-4.65399284457151,0.23452046875,0.797527242344296,-1.01861333637481,-3.50942023844963,3.68e-05,5301405,421875.002051398,0,0,0,0,0,-176.391570978312,485887625
0.15,0.0588235294117647,-4.87394242395209,0.23452046875,0.832718005811909,-0.935684648497004,-3.41552935665419,3.68000000000001e-05,5301405,421874.541401932,0,0,0,0,0,-177.407310669715,740979468
0.15,0.0588235294117647,0.96622325903251,0.73442546875,1.68030410464979,3.29546113464003,6.46109437733616,3.68e-05,5301405,121876.524163492,0,0,0,0,0,-201.342763398552,874306602
0.15,0.0588235294117647,0.994280199069651,0.73442546875,1.68558131228055,3.2850602106223,6.42939092726757,3.68e-05,5301405,121875.561203024,0,0,0,0,0,-201.343324537239,897807414
0.15,0.0588235294117647,0.982443055470124,0.73442546875,1.68122026732218,3.29468641930521,6.39726766966931,3.68e-05,5301405,121873.43638781,0,0,0,0,0,-201.350892146828,75056440
0.15,0.0588235294117647,0.959632325105444,0.73442546875,1.68289415463253,3.30250135057796,6.40306672462919,3.68e-05,5301405,121876.807621951,0,0,0,0,0,-201.348939605786,217814191
0.15,0.0588235294117647,1.00378576926606,0.73442546875,1.68411028488378,3.25961460473938,6.53307092872517,3.68e-05,5301405,121876.559443249,0,0,0,0,0,-201.328511132041,469328133
0.15,0.0588235294117647,-4.6095457147314,0.98437796875,0.7214519296921,-1.05711463866604,-3.35483752595201,3.67999999999999e-05,5301405,571875.731103185,0,0,0,0,0,-176.918491160521,134720709
0.15,0.0588235294117647,-4.60035330320845,0.98437796875,0.707208235983574,-1.05785080507988,-3.36177614690505,3.67999999999999e-05,5301405,571874.322111028,0,0,0,0,0,-176.892169285281,735646640
0.15,0.0588235294117647,-4.60367790876252,0.98437796875,0.712504857782463,-1.05950211996513,-3.35952777361936,3.68e-05,5301405,571875.365086707,0,0,0,0,0,-176.896111095725,478337830
