"","sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed","Profile_Type"
"2416",0.14078828125,0.142857142857143,0.1,-3.14259248178608,0.853044467162679,0.0132307107505134,-0.625917025402267,-1.55644748287747,3.68e-05,5301405,1.59980470010434,154688.643575685,0,0,0,0,731.651909316301,-247.192500921789,155123829,"LHS_search"
"2417",0.14078828125,0.142857142857143,0.1,-3.14668209309828,0.856886908669321,0.013225763595631,-0.624739436406042,-1.55866829584296,3.68e-05,5301405,1.70485096729856,154688.971137273,0,0,0,0,734.699106412608,-247.194289591067,316409189,"LHS_search"
"2418",0.14078828125,0.142857142857143,0.1,-3.14194261806785,0.856439664091027,0.0132028211416363,-0.62726316486267,-1.54939025204748,3.68000000000001e-05,5301405,2.31829026640577,154689.058930593,0,0,0,0,734.135466569779,-247.21208615107,167256814,"LHS_search"
"2419",0.14078828125,0.142857142857143,0.1,-3.14992605041536,0.853554795176334,0.0132556011466647,-0.625227057356575,-1.55570314876397,3.68e-05,5301405,1.64305299487832,154689.297051018,0,0,0,0,733.419544190845,-247.194536613014,534989554,"LHS_search"
"2420",0.14078828125,0.142857142857143,0.1,-3.1540966667252,0.85601517593502,0.0132355916248132,-0.622711205076174,-1.55045349551033,3.68e-05,5301405,1.78220014291513,154690.139376743,0,0,0,0,742.663497298297,-247.20024605084,620428195,"LHS_search"
"2421",0.14078828125,0.142857142857143,0.1,-3.14711499413458,0.856257094882741,0.0132768068615217,-0.624349319536305,-1.5504657156992,3.68e-05,5301405,1.53211653257654,154689.653744853,0,0,0,0,733.568623262991,-247.200815394404,185024493,"LHS_search"
"2422",0.14078828125,0.142857142857143,0.1,-3.15237840705813,0.856474194071935,0.0133660831892704,-0.62195887401454,-1.54682968024849,3.68e-05,5301405,1.89190510069564,154688.8771019,0,0,0,0,734.103864709495,-247.204556584497,863613333,"LHS_search"
"2423",0.14078828125,0.142857142857143,0.1,-3.13439942294959,0.855647491990284,0.0132194274443404,-0.630100547283617,-1.56425925196471,3.68e-05,5301405,1.80494980406291,154688.897855754,0,0,0,0,717.841632717981,-247.197336849399,523263004,"LHS_search"
"2424",0.14078828125,0.142857142857143,0.1,-3.1302725525557,0.855199817773787,0.0132011535957751,-0.631747782449093,-1.55716427016816,3.68e-05,5301405,1.58829121534987,154688.943641079,0,0,0,0,717.512064591964,-247.205998729934,813758400,"LHS_search"
"2425",0.14078828125,0.142857142857143,0.1,-3.15139855210247,0.857440303875852,0.013300783132568,-0.620490676788542,-1.55536769974407,3.68000000000001e-05,5301405,1.41577810838003,154689.575365996,0,0,0,0,733.148446276349,-247.189512174792,264682430,"LHS_search"
"2426",0.14078828125,0.142857142857143,0.1,-3.14120597316686,0.855037656673733,0.0133063303861373,-0.624955211539664,-1.56136080029058,3.68e-05,5301405,1.42401849473879,154689.588715671,0,0,0,0,727.154114712357,-247.192841303031,571429441,"LHS_search"
"2427",0.14078828125,0.142857142857143,0.1,-3.13899372497767,0.852847021854049,0.0132125692375518,-0.626307092127205,-1.56456545837749,3.68e-05,5301405,1.29818643730002,154688.774681388,0,0,0,0,726.539673127587,-247.181360477623,444171693,"LHS_search"
"2428",0.14078828125,0.142857142857143,0.1,-3.13650333642013,0.854177078469232,0.0131689659448948,-0.628395932995294,-1.55217718228564,3.68e-05,5301405,1.56712621762586,154688.89798374,0,0,0,0,727.002420574373,-247.200625897343,478709222,"LHS_search"
"2429",0.14078828125,0.142857142857143,0.1,-3.14587500933762,0.858618693686849,0.0133892512554063,-0.623192448896195,-1.55842555234866,3.68e-05,5301405,1.69268899491485,154688.595427942,0,0,0,0,723.099370227922,-247.200771023177,77752473,"LHS_search"
"2430",0.14078828125,0.142857142857143,0.1,-3.15006448427208,0.85357284157524,0.0132277838175513,-0.624801159585062,-1.55267383715839,3.68e-05,5301405,0.921825268201924,154689.699609927,0,0,0,0,733.12442024607,-247.191248144681,334751403,"LHS_search"
"2431",0.14078828125,0.142857142857143,0.1,-3.14941667932014,0.853864194002236,0.0133251707898135,-0.62382709527085,-1.55083468681177,3.68e-05,5301405,1.80296395201099,154689.612267214,0,0,0,0,730.973333070745,-247.19705670781,743829854,"LHS_search"
"2432",0.14078828125,0.142857142857143,0.1,-3.14016426066998,0.858295139752257,0.0132671341161566,-0.624820463255668,-1.54758780321081,3.67999999999999e-05,5301405,1.6962955743698,154689.020305481,0,0,0,0,731.238606144002,-247.207254480718,242799790,"LHS_search"
"2433",0.14078828125,0.142857142857143,0.1,-3.14070113737892,0.853516257491361,0.0132886923319079,-0.626475154626582,-1.55987841508143,3.68e-05,5301405,1.114530288562,154688.302743402,0,0,0,0,725.221435340091,-247.194180645617,213592110,"LHS_search"
"2434",0.14078828125,0.142857142857143,0.1,-3.15294931434246,0.856457139676032,0.013349827838979,-0.62049196233156,-1.55148516705909,3.68e-05,5301405,1.29402182261654,154688.933228666,0,0,0,0,735.039889451633,-247.194823568951,224516274,"LHS_search"
"2435",0.14078828125,0.142857142857143,0.1,-3.14403648667457,0.85607750315858,0.013324038934939,-0.624109375271063,-1.56066993129775,3.68e-05,5301405,1.67947665240628,154689.110528254,0,0,0,0,727.730601042796,-247.19504742167,1046023261,"LHS_search"
"2436",0.14078828125,0.142857142857143,0.1,-3.14815922003788,0.854642272147305,0.0132115386655094,-0.622775106571347,-1.55787092583973,3.68e-05,5301405,1.43127911011942,154689.436769852,0,0,0,0,734.533300067803,-247.181044884491,449476045,"LHS_search"
"2437",0.14078828125,0.142857142857143,0.1,-3.14338780031199,0.856864247825982,0.013221362523901,-0.626129566295378,-1.55637067150966,3.68000000000001e-05,5301405,1.51362876738516,154690.053935714,0,0,0,0,731.31644865038,-247.201084262838,191900985,"LHS_search"
"2438",0.14078828125,0.142857142857143,0.1,-3.15009495987776,0.855331752305217,0.0132112064932852,-0.623939063607959,-1.55831747340116,3.67999999999999e-05,5301405,1.41404496869838,154689.631395779,0,0,0,0,735.16025228049,-247.192309440798,373398247,"LHS_search"
"2439",0.14078828125,0.142857142857143,0.1,-3.14400190668567,0.855064215572836,0.0132208117854288,-0.625528337504804,-1.55721183372269,3.68e-05,5301405,1.47899012972623,154688.824625543,0,0,0,0,732.091080241939,-247.192574997325,435066914,"LHS_search"
"2440",0.14078828125,0.142857142857143,0.1,-3.14701229460529,0.854159235069663,0.0133278332841376,-0.624825198894992,-1.55430031768619,3.68000000000001e-05,5301405,1.18626181965978,154688.384362316,0,0,0,0,734.713409942911,-247.201122938653,458106686,"LHS_search"
"2441",0.14078828125,0.142857142857143,0.1,-3.1470575530282,0.854094322720999,0.0132324552922935,-0.624814567954346,-1.55193529641545,3.68e-05,5301405,1.73592564700755,154688.854309745,0,0,0,0,738.679095422966,-247.193743728313,893757563,"LHS_search"
"2442",0.14078828125,0.142857142857143,0.1,-3.16057196724893,0.855662291043364,0.0133491343653575,-0.620110970068368,-1.54968844849078,3.68e-05,5301405,1.69935453662058,154689.268066305,0,0,0,0,739.397698031638,-247.194944070946,648860301,"LHS_search"
"2443",0.14078828125,0.142857142857143,0.1,-3.13804247082114,0.853744255972685,0.0132116344037116,-0.629198363056827,-1.56204125406352,3.68e-05,5301405,1.86873592648555,154688.947791239,0,0,0,0,720.379545881965,-247.193623957499,375965058,"LHS_search"
"2444",0.14078828125,0.142857142857143,0.1,-3.13592264869315,0.85396291399031,0.0131998047953768,-0.629058056222484,-1.56412935538881,3.67999999999999e-05,5301405,1.70574453681808,154687.100170018,0,0,0,0,722.45556211255,-247.186248574807,14721654,"LHS_search"
"2445",0.14078828125,0.142857142857143,0.1,-3.13989443451409,0.853870591885553,0.0133055176224713,-0.626546553861406,-1.55700124147037,3.68e-05,5301405,2.16808383176334,154688.834381368,0,0,0,0,723.17752973246,-247.194693873616,782623374,"LHS_search"
"2446",0.14078828125,0.142857142857143,0.1,-3.14967733539142,0.852381130549552,0.0132126691598477,-0.625082046381972,-1.55172691201135,3.68e-05,5301405,1.39549967383419,154689.043662177,0,0,0,0,738.158894330429,-247.190140973429,435562218,"LHS_search"
"2447",0.14078828125,0.142857142857143,0.1,-3.1366204827957,0.85524649801582,0.0132155352674549,-0.627278134092371,-1.56252527264719,3.68e-05,5301405,1.98501957302252,154688.418986813,0,0,0,0,719.383784684524,-247.190079619327,683877148,"LHS_search"
"2448",0.14078828125,0.142857142857143,0.1,-3.15113279950896,0.855177087459955,0.0131964378391526,-0.62356189939364,-1.5545894949161,3.68e-05,5301405,1.55756338860701,154688.869078462,0,0,0,0,739.855968033862,-247.193856300246,88919769,"LHS_search"
"2449",0.14078828125,0.142857142857143,0.1,-3.15285119424794,0.857127751217445,0.0133379241144483,-0.623932073154946,-1.55252334186656,3.68e-05,5301405,1.51392564777423,154688.713228133,0,0,0,0,727.666547481123,-247.20304936181,293781913,"LHS_search"
