"rho","gamma","mu_EI","b_3","sigma_P","sigma_M","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.15,0.142857142857143,0.1,-10.6777496623547,0.70318140625,5.48499212822871,2.05991716614484,-1.84290438515093,3.68e-05,5301405,276562.060593765,98437.2218426515,0,0,0,0,0,-282.936260265687,169370086
0.15,0.142857142857143,0.1,-10.6520666929851,0.70318140625,5.13907775015664,1.82941554442623,-1.30770904450016,3.68e-05,5301405,276564.104240787,98438.1812335534,0,0,0,0,0,-283.989028129743,278142863
0.15,0.142857142857143,0.1,2.16368369794173,0.20327640625,1.70642572177445,4.66906805684067,8.02481755684366,3.68000000000001e-05,5301405,126561.634757981,248437.02009986,0,0,0,0,0,-201.468179542351,218964297
0.15,0.142857142857143,0.1,2.37978303692677,0.20327640625,1.70565776855136,4.46830021174463,8.00538316375869,3.68000000000001e-05,5301405,126563.530016583,248437.977033519,0,0,0,0,0,-201.439310065063,227655488
0.15,0.142857142857143,0.1,2.18533459851545,0.20327640625,1.70246469967393,4.6382994324389,8.08469849666281,3.68000000000001e-05,5301405,126564.118800005,248436.483821998,0,0,0,0,0,-201.452923351417,848643370
0.15,0.142857142857143,0.1,2.21028092297048,0.20327640625,1.70155849738466,4.61335289278371,8.07019090276131,3.68e-05,5301405,126561.041444371,248436.290641003,0,0,0,0,0,-201.45070793673,1071287418
0.15,0.142857142857143,0.1,2.201711863619,0.20327640625,1.70359085351982,4.62395453179676,8.11919620024436,3.68e-05,5301405,126564.526260518,248437.397490674,0,0,0,0,0,-201.447400626631,978599147
0.15,0.142857142857143,0.1,7.86143442326427,0.95313390625,24.8906483153308,0.505760276923772,1.45494275172521,3.68e-05,5301405,51564.0129514365,23439.3992428007,0,0,0,0,0,-353.730360435086,585428023
0.15,0.142857142857143,0.1,7.36199651684607,0.95313390625,32.5517698639317,0.0243601593475077,1.3743869234558,3.68e-05,5301405,51561.6986777996,23438.985981985,0,0,0,0,0,-363.318458918495,898679589
0.15,0.142857142857143,0.1,6.73811278681423,0.95313390625,45.6694673449789,-1.16256522635912,0.926476164448438,3.68000000000001e-05,5301405,51561.8779619256,23438.0106719341,0,0,0,0,0,-387.849256347425,111395384
0.15,0.142857142857143,0.1,7.44049039403462,0.95313390625,24.3283495677371,0.215424728781072,1.79200862189179,3.68e-05,5301405,51564.4206821433,23437.9352644189,0,0,0,0,0,-353.168981318182,1035056032
0.15,0.142857142857143,0.1,6.95345910602182,0.95313390625,45.0804723016365,-2.72205781924292,1.36973775398689,3.68e-05,5301405,51563.405408934,23439.6135297422,0,0,0,0,0,-398.164995872442,695559542
0.15,0.142857142857143,0.1,-3.07693119614495,0.45322890625,0.800556102920962,-0.228830743829427,-3.06104294115004,3.68e-05,5301405,201563.893466057,173437.886093569,0,0,0,0,0,-177.17963802369,177940016
0.15,0.142857142857143,0.1,-3.07027726400926,0.45322890625,0.794914100531795,-0.243216521405181,-3.04534445501488,3.67999999999999e-05,5301405,201563.309106862,173437.529934812,0,0,0,0,0,-177.174341688417,387225640
0.15,0.142857142857143,0.1,-3.07368275645818,0.45322890625,0.792464532196785,-0.248603085842589,-3.04269997434113,3.68e-05,5301405,201562.585046072,173437.65989297,0,0,0,0,0,-177.202453941966,946909123
0.15,0.142857142857143,0.1,-3.07463303813082,0.45322890625,0.782908756234008,-0.250780949332211,-3.04081446068427,3.67999999999999e-05,5301405,201563.21422242,173437.808679664,0,0,0,0,0,-177.206174399165,671808668
