"I_0","gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","R_0","C_0","r","omega","epsilon","LL","seed"
1,0.0588235294117647,4.38073899126406,0.29700859375,2.62275996907276,0.513649621640653,0.0949295259293694,0.532666277286157,3.68e-05,5281842,0,0,0,0.01721420632104,0,-228.262658715597,684558334
1,0.0588235294117647,0.571273832376627,0.29700859375,1.32454648219654,0.395102742440246,0.349806909514139,0.885777554606694,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.68244013183,581272884
1,0.0588235294117647,6.79823981281889,0.29700859375,1.35476661039552,0.288555972876696,0.318069369019452,0.848719914608579,3.68e-05,5281842,0,0,0,0.01721420632104,0,-199.214285004317,343930158
1,0.0588235294117647,0.576305191965672,0.04705609375,1.32687850804869,0.423531123884793,0.348476116728942,0.908890258047002,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.252193951472,784040058
1,0.0588235294117647,0.588867376623867,0.04705609375,1.31904221340675,0.415586960944166,0.361588950555527,0.925016549951548,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-198.243171726821,983377674
1,0.0588235294117647,0.571034787288457,0.04705609375,1.34112063430993,0.38630805918972,0.351066979365015,0.915833892132985,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.273593716615,266418231
1,0.0588235294117647,0.582123280486861,0.04705609375,1.31954141052196,0.373769858464166,0.354061271438608,0.91473125575677,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.305709274592,141615627
1,0.0588235294117647,0.557996980591939,0.04705609375,1.34507401579005,0.418880728446853,0.348746908039558,0.93369703417916,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.155716887977,668559693
1,0.0588235294117647,2.42675880185086,0.54696109375,2.62462381565414,0.530146316532253,0.104635910311346,0.0425848409983607,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-232.030409585045,562182129
1,0.0588235294117647,2.60818710252316,0.54696109375,2.16991240061041,0.469116959666035,0.115287978057307,0.0455449152627221,3.68e-05,5281842,0,0,0,0.01721420632104,0,-235.998193348344,762054926
1,0.0588235294117647,0.358972710843818,0.54696109375,1.47624265187138,0.415862518156827,0.26273801201096,0.716207374545509,3.68e-05,5281842,0,0,0,0.01721420632104,0,-201.253424442621,438747896
1,0.0588235294117647,1.89958717101833,0.54696109375,2.50693292319474,0.601538811201193,0.120106479700892,0.0356939449701128,3.68e-05,5281842,0,0,0,0.01721420632104,0,-231.968331061069,810612677
1,0.0588235294117647,3.53390158203357,0.54696109375,2.1848115342624,0.665204262942876,0.113930392573349,0.059864771149996,3.68e-05,5281842,0,0,0,0.01721420632104,0,-228.498408492114,810086119
1,0.0588235294117647,3.35042200293321,0.42198484375,0.0460692242518881,0.153071043617755,0.641663533254626,0.47091445289098,3.68e-05,5281842,0,0,0,0.01721420632104,0,-850.962114330194,818246924
1,0.0588235294117647,1.95513633010386,0.42198484375,0.0128341829775374,0.210014037059224,2.33544460406946,0.57545857516625,3.68e-05,5281842,0,0,0,0.01721420632104,0,-580.043189152275,1054930398
1,0.0588235294117647,1.95031877532732,0.42198484375,0.061877323957488,0.187510357532921,2.97006647465202,0.696355651108735,3.68e-05,5281842,0,0,0,0.01721420632104,0,-564.641909149404,215746038
