"I_0","gamma","b_3","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","R_0","C_0","r","g","epsilon","LL","seed"
1,0.0588235294117647,-6.87979841914912,0.98437796875,3.16997050922234,0.467962084001006,-1.56095406728349,1.83136832821235,3.68e-05,5301405,0,0,0,0,0,-239.411705569528,890209563
1,0.0588235294117647,-5.95568855803565,0.98437796875,2.65780836257505,0.573421483157549,-1.66110352153696,1.55729321602984,3.68e-05,5301405,0,0,0,0,0,-222.639825248569,543653295
1,0.0588235294117647,-6.32720593164511,0.98437796875,2.8453380700093,0.451172182067466,-2.10079091325854,1.27019084013014,3.68e-05,5301405,0,0,0,0,0,-244.299685262041,969366305
1,0.0588235294117647,4.8141015440087,0.48447296875,2.70320119695155,0.872615678005289,5.88264381896687,0.0355784398390727,3.68e-05,5301405,0,0,0,0,0,-219.915570683417,1064426755
1,0.0588235294117647,5.34839331029406,0.48447296875,2.11727358706016,0.842708827417849,6.88630912322322,0.587807323693017,3.68e-05,5301405,0,0,0,0,0,-210.387940852175,493563116
1,0.0588235294117647,4.3523947338956,0.48447296875,2.05907416324224,0.850642864497537,5.67964133041709,1.13875383336314,3.68e-05,5301405,0,0,0,0,0,-209.621362811617,1017483272
1,0.0588235294117647,3.68833666910091,0.48447296875,3.76576131871538,0.819386302903796,5.14585637431219,-0.229071021876326,3.68e-05,5301405,0,0,0,0,0,-235.205096970208,76218895
1,0.0588235294117647,5.2357814913804,0.48447296875,2.17406810496307,0.835975858423684,6.07456030415106,0.626094877543252,3.68e-05,5301405,0,0,0,0,0,-211.631178886963,741295560
1,0.0588235294117647,-15.8104544372178,0.79691359375,0.329592205934861,0.13926118240853,2.33563128136144,-3.65332940313371,3.68e-05,5301405,0,0,0,0,0,-1017.74261110337,57674723
1,0.0588235294117647,-15.5001364830739,0.79691359375,131.758801759905,0.247289567757309,3.67346102496839,-2.92738565045133,3.68e-05,5301405,0,0,0,0,0,-412.807710731361,886351488
1,0.0588235294117647,-15.6447923217948,0.79691359375,133.353257226282,0.120052429073069,2.66822905431399,-3.79813495790388,3.67999999999999e-05,5301405,0,0,0,0,0,-422.921153796927,11722809
1,0.0588235294117647,-15.4752531989603,0.79691359375,125.17602598915,0.192515344401726,3.00965164964186,-3.20127383388879,3.67999999999999e-05,5301405,0,0,0,0,0,-422.970497809392,323872433
1,0.0588235294117647,-17.3360772540329,0.79691359375,131.857500612518,0.257542977013855,1.69444413988015,-2.57824294032242,3.68e-05,5301405,0,0,0,0,0,-422.654115316272,1073557990
1,0.0588235294117647,-2.63170633323652,0.29700859375,3.53718989710283,0.810807550464398,1.82486038097531,5.18623934959239,3.68e-05,5301405,0,0,0,0,0,-244.055414392416,539486730
1,0.0588235294117647,-2.54425127155776,0.29700859375,2.62927413888829,0.724648864720761,2.45350850276694,5.37183139036929,3.68e-05,5301405,0,0,0,0,0,-230.424634434104,398923102
1,0.0588235294117647,-1.86891108082864,0.29700859375,1.91811133372253,0.855023792689841,3.06730203817167,5.94816132765472,3.68e-05,5301405,0,0,0,0,0,-208.07584937284,621065148
