"sigma_M","gamma","b_3","sigma_P","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1e-04,0.0588235294117647,-6.63434138769173,0.42198484375,0.126832942602859,5.81429801183831,-1.75858381183765,3.67999999999999e-05,5301405,309374.737261128,0,0,0,0,0,-866.878113277396,1034241506
9.99999999999999e-05,0.0588235294117647,3.86410569882341,0.92188984375,0.0842887979928473,0.537104471611477,3.71857328990454,3.68e-05,5301405,9375.85997261457,0,0,0,0,0,-563.474706679994,627932545
1e-04,0.0588235294117647,4.46887101626482,0.92188984375,0.071636467525431,0.590335786367644,3.68215369796056,3.68000000000001e-05,5301405,9376.26262139387,0,0,0,0,0,-574.172624823669,1033960226
1e-04,0.0588235294117647,3.69938739516635,0.92188984375,0.0751259605097882,1.25667889705699,3.43280940509095,3.67999999999999e-05,5301405,9376.86312902356,0,0,0,0,0,-535.91030646018,412967382
1e-04,0.0588235294117647,4.16741766560916,0.92188984375,0.076161989584486,0.70219542199431,3.35883483428643,3.68000000000001e-05,5301405,9374.14128726479,0,0,0,0,0,-555.407390004324,560377027
1e-04,0.0588235294117647,3.8280403430221,0.92188984375,0.0765542120540727,0.879514680310346,3.55982328020424,3.68e-05,5301405,9376.1952887354,0,0,0,0,0,-544.032687258344,152838050
1e-04,0.0588235294117647,-12.5948592609589,0.67193734375,0.325005803033914,-3.38800918016616,-4.56197438477546,3.67999999999999e-05,5301405,459375.21002822,0,0,0,0,0,-986.194431754561,194146441
1e-04,0.0588235294117647,-12.5930224280884,0.67193734375,0.311546099343603,-3.81491653029979,-4.39591579815052,3.67999999999999e-05,5301405,459373.734356862,0,0,0,0,0,-986.159790122934,707650020
1e-04,0.0588235294117647,-12.4670714239717,0.67193734375,0.371892961790775,-3.44289563753913,-4.7770989631284,3.67999999999999e-05,5301405,459374.622166246,0,0,0,0,0,-986.189807500484,770587857
1e-04,0.0588235294117647,-12.2929528594414,0.67193734375,0.252779977712509,-3.334989633767,-4.29558751945821,3.67999999999999e-05,5301405,459376.091694628,0,0,0,0,0,-986.189085571368,131106664
1e-04,0.0588235294117647,-12.6978859060349,0.67193734375,0.314891835190168,-3.64196556878652,-4.41357858042678,3.67999999999999e-05,5301405,459375.768739549,0,0,0,0,0,-986.19553232764,720623925
1e-04,0.0588235294117647,0.297173001880581,0.17203234375,0.356807314139622,2.74073087185889,2.95346154008632,3.67999999999999e-05,5301405,159376.329568939,0,0,0,0,0,-548.06248866042,204726315
1e-04,0.0588235294117647,1.11055426519197,0.17203234375,0.108699543185021,3.63405719304748,1.91143743234982,3.68000000000001e-05,5301405,159375.442417155,0,0,0,0,0,-722.172099395679,938364346
1e-04,0.0588235294117647,-0.45880959584688,0.17203234375,0.433566698783763,3.27878037914486,2.5075263703192,3.68e-05,5301405,159376.035467548,0,0,0,0,0,-555.68868122362,898920338
1e-04,0.0588235294117647,2.13598287347408,0.17203234375,0.0231415413025438,4.00624353192608,2.03923810414375,3.67999999999999e-05,5301405,159374.705745645,0,0,0,0,0,-701.247171684312,141908783
1e-04,0.0588235294117647,0.556464382968959,0.17203234375,0.033603596638942,2.2513043457813,3.27262458530397,3.68e-05,5301405,159376.852490577,0,0,0,0,0,-757.230002313794,285194580
1e-04,0.0588235294117647,-11.5465999126952,0.26576453125,0.00188741879529547,8.66987583022751,7.95237726942508,3.68000000000001e-05,5301405,215625.193994057,0,0,0,0,0,-853.253636916491,129820276
1e-04,0.0588235294117647,-10.1710507355121,0.26576453125,0.00540137702906026,8.33180020248541,7.89333944170816,3.68e-05,5301405,215623.706751958,0,0,0,0,0,-852.59411753998,488216425
1e-04,0.0588235294117647,-12.4088774142396,0.26576453125,0.00188918471922873,9.0802812479512,7.0023613590068,3.68e-05,5301405,215625.050719411,0,0,0,0,0,-855.813244229208,318624351
1e-04,0.0588235294117647,-11.3168513059928,0.26576453125,0.00189878172762504,8.7940627030086,7.0954457936059,3.68000000000001e-05,5301405,215625.818497337,0,0,0,0,0,-855.036242375844,316501383
1e-04,0.0588235294117647,-9.08193550298129,0.26576453125,0.00455713300667964,7.38894354848136,10.4411747995619,3.68e-05,5301405,215626.842001925,0,0,0,0,0,-819.411105162507,884111059
1e-04,0.0588235294117647,0.358718549117956,0.76566953125,0.512233409990986,2.45588176382639,-1.21475509142256,3.68e-05,5301405,515626.581454593,0,0,0,0,0,-521.712712175948,335454434
1e-04,0.0588235294117647,0.762577170885037,0.76566953125,0.442932127755385,2.31266917762613,-0.887324851310141,3.68e-05,5301405,515624.233146004,0,0,0,0,0,-518.354010576608,573213389
1e-04,0.0588235294117647,0.265966530228074,0.76566953125,0.511606802079626,2.66931230813703,-0.990058861615949,3.68e-05,5301405,515624.700451516,0,0,0,0,0,-524.232143453503,821534417
1e-04,0.0588235294117647,0.717723909568085,0.76566953125,0.445312944835005,2.07348892563029,0.321477953392714,3.68000000000001e-05,5301405,515625.87404111,0,0,0,0,0,-510.319732771281,790946314
1e-04,0.0588235294117647,-0.474388272708226,0.76566953125,0.512257226567278,2.8037374683606,-1.49761124817249,3.68e-05,5301405,515625.994824523,0,0,0,0,0,-545.923797228794,955845085
1e-04,0.0588235294117647,-6.43439693117157,0.51571703125,0.00640250388581282,-0.205042464338715,0.557265161565878,3.67999999999999e-05,5301405,65626.1945902126,0,0,0,0,0,-948.948604093927,573268603
1e-04,0.0588235294117647,-7.01132132851463,0.51571703125,0.00549451732667835,-1.41334261295258,-0.234612527355525,3.67999999999999e-05,5301405,65623.7631758455,0,0,0,0,0,-893.592708446651,900329564
1e-04,0.0588235294117647,-6.85886569316947,0.51571703125,0.00610394801724926,-1.75133520053594,0.527955616979348,3.67999999999999e-05,5301405,65626.6078005122,0,0,0,0,0,-986.951369892717,911273665
