"sigma_P","gamma","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.00019,0.0588235294117647,-4.5724821358685,0.840315752257793,0.13462496417015,-0.982146159707015,-3.40857523156324,3.68e-05,5301405,571874.338122223,0,0,0,0,0,-176.95078127235,183239757
0.00019,0.0588235294117647,-4.22751254858275,0.71078812726022,0.0526570932159617,-1.11857802494527,-3.09446546607594,3.67999999999999e-05,5301405,571875.418444064,0,0,0,0,0,-172.100757492885,274925500
0.00019,0.0588235294117647,4.62073743076221,17.5627964691779,0.689608216977938,-1.04239538829688,0.283255454857158,3.68e-05,5301405,271875.651895843,0,0,0,0,0,-341.159357876072,350419070
0.00019,0.0588235294117647,5.16518634485043,2.84961758733723,0.61170845404312,2.08466902553424,2.38249421663078,3.68e-05,5301405,271875.917636715,0,0,0,0,0,-218.383632246006,312050042
0.00019,0.0588235294117647,6.23874758803797,3.83179959945412,0.766489983518748,1.52781535877752,2.3320707673634,3.68e-05,5301405,271875.67984068,0,0,0,0,0,-232.095119881629,1045232222
0.00019,0.0588235294117647,5.68854108764468,5.54592510321656,0.622504414701814,-1.9248780157401,0.33826205544265,3.68e-05,5301405,271875.491792092,0,0,0,0,0,-378.015044548872,300287600
0.00019,0.0588235294117647,5.16178306030031,12.1775444569779,0.667850001178811,1.13800952038231,-0.0015646340102957,3.68e-05,5301405,271875.372734813,0,0,0,0,0,-305.217088658828,60117665
0.00019,0.0588235294117647,-8.80722276174363,1.75807595834826,0.920313016172927,-0.611516975671825,-1.71828290366457,3.68e-05,5301405,384374.666712882,0,0,0,0,0,-207.986436304369,288315952
0.00019,0.0588235294117647,-9.07911574271146,1.73690283252066,0.925254570487306,-0.256451129666396,-2.1765920303855,3.68e-05,5301405,384376.087312692,0,0,0,0,0,-208.668249705064,927865009
0.00019,0.0588235294117647,-9.66614982078393,2.09339298431339,0.858514705244094,-0.488637636888546,-1.71064787337073,3.68e-05,5301405,384374.765460801,0,0,0,0,0,-217.132239953667,60942268
0.00019,0.0588235294117647,-9.56143227308904,2.09909762121982,0.881619356632953,-0.645577057672916,-1.52549972442499,3.68e-05,5301405,384374.422585454,0,0,0,0,0,-216.600743955412,818961119
0.00019,0.0588235294117647,-8.62850231269072,1.63205054635214,0.915951729798156,-0.237437879750973,-2.31273642163077,3.67999999999999e-05,5301405,384377.867785268,0,0,0,0,0,-204.234126675902,148810251
0.00019,0.0588235294117647,-4.85747868295158,0.719293174248485,0.861099917283084,-0.959411417166514,-3.8985455298169,3.68e-05,5301405,84376.0007915835,0,0,0,0,0,-177.385799242508,164188029
0.00019,0.0588235294117647,-6.76087049550668,5.20814264579554,0.912502554513647,1.07478942830685,-5.37648659526316,3.68e-05,5301405,84375.5063748463,0,0,0,0,0,-236.843895977423,911792151
0.00019,0.0588235294117647,-4.72980172025534,0.680269458100316,0.782277438137318,-1.16876961368201,-3.68318147069065,3.68e-05,5301405,84375.3388276051,0,0,0,0,0,-176.036942539199,1010683988
0.00019,0.0588235294117647,-4.83397488258368,0.724805124326433,0.819291833410996,-1.02560036395171,-3.82303297998383,3.68e-05,5301405,84375.6694058193,0,0,0,0,0,-176.850037507937,459393419
0.00019,0.0588235294117647,-4.69344391981862,0.728443955007692,0.721186057423258,-1.11913086224066,-3.7630226493798,3.67999999999999e-05,5301405,84376.7346594004,0,0,0,0,0,-175.86726676505,331465186
0.00019,0.0588235294117647,-4.66810431428035,1.76484277498145,0.799533465987657,8.20640074161589,7.60307428091795,3.68e-05,5301405,534375.857448636,0,0,0,0,0,-205.678374989939,985137350
0.00019,0.0588235294117647,-7.74964799743725,3.39672092446175,0.731525965645824,7.53022378776437,5.26140099813683,3.68e-05,5301405,534375.13780674,0,0,0,0,0,-246.802842987339,907844972
0.00019,0.0588235294117647,-8.96999936012114,0.0301828618485494,0.134993476392873,7.86154809210073,4.5775692971788,3.68e-05,5301405,534375.112821131,0,0,0,0,0,-866.470458819155,146320169
0.00019,0.0588235294117647,-6.4086050972232,2.875991784005,0.773923690557544,8.13398866439333,5.21714442917605,3.68e-05,5301405,534373.35681381,0,0,0,0,0,-232.691456029556,931500718
0.00019,0.0588235294117647,-8.62508330188692,5.61553233464447,0.514306056809926,8.74173743838167,3.8429701883708,3.68e-05,5301405,534374.960940488,0,0,0,0,0,-271.215405238674,586880946
0.00019,0.0588235294117647,0.628617124111523,1.4474817649036,0.517054815532006,3.61438832517397,2.02124164755007,3.68e-05,5301405,234374.988187807,0,0,0,0,0,-194.823736469858,1044163136
0.00019,0.0588235294117647,-3.96884492825915,1.22867549265481,0.302826676622904,-0.459619567103142,-1.50945142878056,3.67999999999999e-05,5301405,234373.752128336,0,0,0,0,0,-191.7000732415,576234927
0.00019,0.0588235294117647,-2.77192992252009,2.19336079887125,0.806221696176043,2.12040215189719,-1.71880917394127,3.68e-05,5301405,234373.600379886,0,0,0,0,0,-217.594133069882,281085913
0.00019,0.0588235294117647,-3.92444517794054,1.3008121851628,0.469580931374093,0.281097232448928,-1.4267148131565,3.68e-05,5301405,234375.264998674,0,0,0,0,0,-194.581824552402,361298161
