"gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.249216300940439,-4.03001410496847,0.773480546875,33.4627123369287,0.10109862748691,0.243741839671399,0.990363737951453,3.67999999999999e-05,5281842,520311.530490577,0,0,0,0.01721420632104,0,-367.017515637489,722024067
0.249216300940439,-1.4103310206318,0.773480546875,119.97432429677,0.225597817972774,0.141351062685894,0.991193143494718,3.68e-05,5281842,520313.553300382,0,0,0,0.01721420632104,0,-416.828474117272,437564659
0.249216300940439,-2.82127654639696,0.773480546875,100.099597972444,0.268363254532598,0.19004183967587,0.991621102476717,3.68e-05,5281842,520310.437856702,0,0,0,0.01721420632104,0,-404.831651580286,891664901
0.264890282131661,-3.70813865981354,0.26576453125,22.558489389059,0.0712969467261022,0.249908443931494,0.461617747526977,3.68e-05,5281842,346875.891574866,0,0,0,0.01721420632104,0,-322.909958511056,415621088
0.264890282131661,-1.34197915724005,0.26576453125,120.311421216069,0.0813696505613735,0.192050206190051,0.436398179200027,3.68e-05,5281842,346875.737015463,0,0,0,0.01721420632104,0,-416.805180525465,845537367
0.264890282131661,-3.72205163450273,0.26576453125,11.3188753235115,0.0602990388590284,0.314951129614438,0.249018695073092,3.68e-05,5281842,346876.256303146,0,0,0,0.01721420632104,0,-289.546365655197,326918973
0.264890282131661,-4.27505046065016,0.26576453125,6.16851100435599,0.15006691568673,0.323843253230104,0.298877055874214,3.68e-05,5281842,346874.702733916,0,0,0,0.01721420632104,0,-251.194057743696,817667704
0.264890282131661,-3.43949059111358,0.26576453125,35.2442788386271,0.119408422032022,0.221650573652171,0.643305854851061,3.68e-05,5281842,346876.081238503,0,0,0,0.01721420632104,0,-351.45139189929,484227290
0.264890282131661,2.04627009133977,0.76566953125,0.0522963924555732,0.421681643231591,0.0552393201148239,0.137369606388413,3.68000000000001e-05,5281842,46876.60764995,0,0,0,0.01721420632104,0,-986.846062659423,1043769365
0.264890282131661,1.34775750421935,0.76566953125,0.0694653281168079,0.0526209993563555,0.277520299666218,0.173145552957248,3.68e-05,5281842,46873.8456269556,0,0,0,0.01721420632104,0,-169.987383086264,173290170
0.264890282131661,1.40184337231286,0.76566953125,0.0931047326508574,0.0511453672181037,0.282623098209881,0.171141604021633,3.68e-05,5281842,46875.4841788724,0,0,0,0.01721420632104,0,-170.411171317292,841338103
0.264890282131661,1.41182833635906,0.76566953125,0.0537366945848112,0.0512891001010025,0.278810384661071,0.167366304855314,3.67999999999999e-05,5281842,46876.2288817919,0,0,0,0.01721420632104,0,-169.986880844448,562098779
0.264890282131661,1.34598617591554,0.76566953125,0.108266384348842,0.0555983773765239,0.274651472064192,0.157154490923037,3.68e-05,5281842,46879.1122527857,0,0,0,0.01721420632104,0,-170.209297302952,1073650989
0.264890282131661,1.92230493642545,0.01581203125,1.9345663728919,0.403955228673494,0.407948964837548,0.387671409639853,3.68e-05,5281842,496876.484316663,0,0,0,0.01721420632104,0,-228.831088275261,1050570049
0.264890282131661,1.86172263008428,0.01581203125,2.00528139340072,0.331568640774328,0.395802026830652,0.404769065485788,3.68e-05,5281842,496875.298249118,0,0,0,0.01721420632104,0,-228.808395721085,623977297
0.264890282131661,1.87272733478557,0.01581203125,2.07031729286537,0.418557883323649,0.405012523191048,0.401293118956702,3.68e-05,5281842,496873.929451095,0,0,0,0.01721420632104,0,-226.474994359323,182594918
0.264890282131661,1.84052817602379,0.01581203125,2.59941352559919,0.247721780505801,0.456222340484167,0.457918722821116,3.68e-05,5281842,496876.136182071,0,0,0,0.01721420632104,0,-238.530865729075,978032869
0.264890282131661,1.93828132412826,0.01581203125,2.08652689116426,0.317006316951198,0.428392028099316,0.403908003752703,3.67999999999999e-05,5281842,496875.642799876,0,0,0,0.01721420632104,0,-232.594739536071,324163253
0.264890282131661,1.5228307028436,0.51571703125,0.442193957399151,0.0778756372985327,0.287901590927455,0.179155700360373,3.68000000000001e-05,5281842,196873.251927248,0,0,0,0.01721420632104,0,-181.045596162522,379215575
0.264890282131661,1.52057420764107,0.51571703125,0.482592647929248,0.0805946948249472,0.284439786901465,0.180576241241546,3.68e-05,5281842,196874.922326216,0,0,0,0.01721420632104,0,-180.483558806045,767264294
0.264890282131661,1.54380999757757,0.51571703125,0.49927642320507,0.0811673576450164,0.284878923314146,0.186545109691949,3.67999999999999e-05,5281842,196874.551565607,0,0,0,0.01721420632104,0,-180.483725204849,601847932
0.264890282131661,1.51822052576527,0.51571703125,0.466097165910531,0.078604162659807,0.288499152180284,0.178104347719275,3.68e-05,5281842,196874.953035928,0,0,0,0.01721420632104,0,-180.8559783259,450031812
0.264890282131661,1.55766385364654,0.51571703125,0.543656042500863,0.0797029814690151,0.288158897564122,0.181702675794682,3.68e-05,5281842,196874.589853627,0,0,0,0.01721420632104,0,-180.68729302121,882208812
0.264890282131661,2.05772393705961,0.14078828125,6.18908329929245,0.139758012420249,0.92269696166679,0.480230383931928,3.68e-05,5281842,421875.585673054,0,0,0,0.01721420632104,0,-341.13563824069,380343424
0.264890282131661,1.36788981984546,0.14078828125,0.0206536238916767,0.0883086220455222,0.031933042210186,0.211847366222963,3.68e-05,5281842,421875.879694216,0,0,0,0.01721420632104,0,-985.20866341496,575242897
0.264890282131661,1.62156605467276,0.14078828125,67.8855403260686,0.0403334032148593,0.282767572499486,0.0862370982318491,3.68e-05,5281842,421874.549447793,0,0,0,0.01721420632104,0,-383.419439287853,1035218238
0.264890282131661,1.40507455280239,0.14078828125,0.0202350714568389,0.0900902311303943,0.0324757641973627,0.251823698973946,3.68e-05,5281842,421875.459131081,0,0,0,0.01721420632104,0,-985.200459229182,96024574
0.264890282131661,1.7230754719244,0.14078828125,1.61590274551571,0.28667830894345,0.391093816136867,0.345011762820222,3.68e-05,5281842,421873.400684702,0,0,0,0.01721420632104,0,-217.49520501333,1027970600
0.264890282131661,1.39418979788753,0.64069328125,0.345530827637543,0.0580366179594067,0.282523336550611,0.152520003796302,3.68e-05,5281842,121875.226772241,0,0,0,0.01721420632104,0,-176.521307015716,851436460
0.264890282131661,1.38860396560353,0.64069328125,0.358919631735357,0.0669010621434658,0.275525810295165,0.182662674381632,3.68e-05,5281842,121875.994145593,0,0,0,0.01721420632104,0,-176.162807637395,537515922
0.264890282131661,1.40644106620566,0.64069328125,0.356920591065601,0.0654984095865103,0.278129690418499,0.169002793051889,3.68e-05,5281842,121875.423888032,0,0,0,0.01721420632104,0,-176.257680523101,1038026602
