"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.379428275862069,0.0588235294117647,1.03512731065737,0.624162530254855,0.0247006040373088,0.0688753927590617,0.580248535524514,3.68e-05,5281842,65626.2073019433,0,0,0,0.01721420632104,0,-171.234053385434,810256559
0.379428275862069,0.0588235294117647,1.02382621031247,0.612596613761345,0.0242710148984667,0.0691274994341344,0.583295488585521,3.68e-05,5281842,65625.4341858139,0,0,0,0.01721420632104,0,-171.239914630148,240795460
0.379428275862069,0.0588235294117647,1.0396154228099,0.633148239204108,0.0242440817123529,0.0691061925849315,0.578842161349906,3.68e-05,5281842,65625.7634254573,0,0,0,0.01721420632104,0,-171.244075898372,1053005785
0.379428275862069,0.0588235294117647,2.55718686336619,0.0436504980818249,0.629092670074149,0.875307173868039,0.373596928412559,3.68000000000001e-05,5281842,365624.324015764,0,0,0,0.01721420632104,0,-658.647132282669,681584874
0.379428275862069,0.0588235294117647,1.69129257768261,0.0959964868016655,0.771185271507086,1.04065946160461,0.574680554279223,3.68000000000001e-05,5281842,365626.259275366,0,0,0,0.01721420632104,0,-574.15048010634,1012493920
0.379428275862069,0.0588235294117647,1.98553143546082,0.0108173151233554,0.719992496054472,0.949424945257228,0.459539257892971,3.68e-05,5281842,365626.629678218,0,0,0,0.01721420632104,0,-614.524373014563,880455675
0.379428275862069,0.0588235294117647,1.66151514368744,0.0108258280509574,0.789084345939656,0.995145494244097,0.571165102797644,3.68e-05,5281842,365623.48624041,0,0,0,0.01721420632104,0,-583.949569425398,250043453
0.379428275862069,0.0588235294117647,2.10269349992141,0.0141542161758811,0.61974424747471,1.01100912681623,0.425736410164662,3.68e-05,5281842,365626.489832619,0,0,0,0.01721420632104,0,-848.051395118849,892098331
0.379428275862069,0.0588235294117647,1.16143018895253,0.5748836369304,0.0308901400180839,0.0703151159550953,0.674733429050722,3.68e-05,5281842,290625.025164425,0,0,0,0.01721420632104,0,-167.608705097661,880452687
0.379428275862069,0.0588235294117647,1.16507881633077,0.579066021614981,0.0306213859223378,0.0701763101834065,0.676679244672914,3.68e-05,5281842,290626.17537826,0,0,0,0.01721420632104,0,-167.579430555252,1061118458
0.379428275862069,0.0588235294117647,1.16419293459118,0.572875397331826,0.0309806680412198,0.0701205750730942,0.675419372855441,3.68e-05,5281842,290625.529136824,0,0,0,0.01721420632104,0,-167.567134253954,228860401
0.379428275862069,0.0588235294117647,1.16335706508453,0.575223740021955,0.0307047959434375,0.0704068469531646,0.676173278277412,3.68e-05,5281842,290625.802920408,0,0,0,0.01721420632104,0,-167.601198935002,207377159
