"b_1","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-3,0.142857142857143,0.1,-9.37022481654605,0.82815765625,116.937082765094,0.0225468157915549,-0.935850435839678,3.68e-05,5301405,239062.988069435,135939.391260257,0,0,0,0,0,-415.758798613332,769648856
-3,0.142857142857143,0.1,-8.01555185133932,0.82815765625,18.7074826871631,0.185064544219361,0.69365129732135,3.68e-05,5301405,239061.953446144,135937.853858952,0,0,0,0,0,-340.149970522401,671140185
-3,0.142857142857143,0.1,-9.43845756559928,0.82815765625,117.476603106647,0.0159220240769063,-0.574816855398617,3.68e-05,5301405,239063.066453221,135938.366126755,0,0,0,0,0,-416.594126432607,989739204
-3,0.142857142857143,0.1,-9.55819903075493,0.82815765625,119.907235289722,0.0507560225293081,-1.02892793788333,3.68e-05,5301405,239064.888718767,135938.553024448,0,0,0,0,0,-414.146046917893,716715951
-3,0.142857142857143,0.1,-8.90980244611038,0.82815765625,22.9199140203082,0.129655209453221,0.830926203537843,3.68e-05,5301405,239063.967354609,135938.734950064,0,0,0,0,0,-350.451100639312,1007973129
-3,0.142857142857143,0.1,0.318218930126773,0.32825265625,5.24941943713269,0.882731343432851,-5.31567521504772,3.68e-05,5301405,89062.8843300248,285937.479574951,0,0,0,0,0,-271.028718458624,152127365
-3,0.142857142857143,0.1,0.375132242759739,0.32825265625,5.17958936423212,0.880722896370277,-5.42350171060464,3.68e-05,5301405,89063.176123197,285939.808174263,0,0,0,0,0,-272.439514549983,36973310
-3,0.142857142857143,0.1,0.0981347407302677,0.32825265625,4.93844609604699,0.810362302001949,-4.70669866420927,3.68e-05,5301405,89062.0946022755,285937.276821855,0,0,0,0,0,-265.446346225455,55646221
-3,0.142857142857143,0.1,0.79648140980623,0.32825265625,6.90730342724139,0.791455938734507,-6.46226940740117,3.67999999999999e-05,5301405,89063.039584913,285938.553858567,0,0,0,0,0,-285.86900232459,625406070
-3,0.142857142857143,0.1,0.950979772732973,0.32825265625,7.43952007217278,0.858962789714469,-6.95774556625523,3.68e-05,5301405,89063.0605482136,285937.806672831,0,0,0,0,0,-288.120257522562,850357512
-3,0.142857142857143,0.1,-12.4122283264338,0.70318140625,114.879053052735,0.458625312806385,-2.44885065312512,3.68e-05,5301405,276561.757615285,98439.0032085259,0,0,0,0,0,-416.309492229598,1046951530
-3,0.142857142857143,0.1,-13.3433757707867,0.70318140625,120.090342531548,0.131380804961122,-1.8302293909468,3.68e-05,5301405,276561.90345046,98439.9035800821,0,0,0,0,0,-416.85716261407,302375138
-3,0.142857142857143,0.1,-11.5777633758902,0.70318140625,120.056487816287,0.275711755523569,-3.45356212236873,3.68e-05,5301405,276565.609552885,98438.493892233,0,0,0,0,0,-416.84844154424,939652080
-3,0.142857142857143,0.1,-12.1251071527869,0.70318140625,120.343402160794,0.215345140817561,-3.05554049690139,3.68e-05,5301405,276563.635431661,98436.9802555079,0,0,0,0,0,-416.846381623702,73598529
