"b_2","gamma","b_3","sigma_P","sigma_M","rho","b_1","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-8,0.0588235294117647,-3.71278175483524,0.29700859375,2.2537545253165,0.94434652068921,0.228085097600344,3.67999999999999e-05,5301405,84374.7586322105,0,0,0,0,0,-219.083873822374,827431326
-8,0.0588235294117647,-3.75791102913825,0.29700859375,2.28452874206698,0.926469645182284,0.250024145613837,3.68e-05,5301405,84376.0175619373,0,0,0,0,0,-219.247126561174,534985125
-8,0.0588235294117647,-3.68905792732725,0.29700859375,2.31018716263087,0.911340631290683,0.216212530944222,3.68e-05,5301405,84374.3995077063,0,0,0,0,0,-219.628816535833,261805462
-8,0.0588235294117647,-3.81542201093025,0.29700859375,2.23257621705681,0.955822662992094,0.292069135549883,3.68e-05,5301405,84376.0053381481,0,0,0,0,0,-218.81019412257,765721901
-8,0.0588235294117647,-3.71101190828797,0.29700859375,2.23227872747128,0.940812371978709,0.240477846757759,3.68e-05,5301405,84374.5082948793,0,0,0,0,0,-219.185780897914,85607118
-8,0.0588235294117647,-7.4238034796026,0.04705609375,2.83941972693562,0.890515785331501,1.9683751452195,3.67999999999999e-05,5301405,534374.63380408,0,0,0,0,0,-234.29646549878,674247889
-8,0.0588235294117647,-9.63812964136087,0.04705609375,4.85277296964931,0.797427255451726,2.82147180039565,3.68e-05,5301405,534373.625337643,0,0,0,0,0,-254.554987431818,536411957
-8,0.0588235294117647,-10.3274736608482,0.04705609375,4.40885964756996,0.819658849373732,2.99763766289555,3.68e-05,5301405,534376.221916595,0,0,0,0,0,-258.102035123552,536432845
-8,0.0588235294117647,-10.1023761553609,0.04705609375,5.89240432512431,0.875323618866267,3.05912304045537,3.68e-05,5301405,534373.465715362,0,0,0,0,0,-260.355683036897,285566578
-8,0.0588235294117647,-8.25196728485544,0.04705609375,3.18047361449209,0.825181627733692,2.272381004387,3.68e-05,5301405,534374.925909651,0,0,0,0,0,-241.15484300025,781307398
-8,0.0588235294117647,0.0566312343313938,0.54696109375,25.3603443913998,0.915805312826907,1.23428589111777,3.68e-05,5301405,234374.185982259,0,0,0,0,0,-358.461301524011,988573668
-8,0.0588235294117647,-0.582016230000162,0.54696109375,23.6591341071814,0.850780762307177,0.577812454270508,3.68e-05,5301405,234377.22784054,0,0,0,0,0,-356.009183163606,556232062
-8,0.0588235294117647,-0.771464804095406,0.54696109375,27.4890556246483,0.761228664520659,1.60800717162838,3.68e-05,5301405,234379.015745247,0,0,0,0,0,-356.644305732001,626959902
-8,0.0588235294117647,0.993741331147619,0.54696109375,29.0961635963711,0.768916358270602,2.01570116526231,3.68e-05,5301405,234377.355006554,0,0,0,0,0,-365.335072383099,584951797
-8,0.0588235294117647,1.61432954512149,0.54696109375,31.8120340963915,0.771961936649955,1.36602586720636,3.68e-05,5301405,234373.424831133,0,0,0,0,0,-368.740279305773,910377804
-8,0.0588235294117647,-4.7658022189713,0.42198484375,0.0255195141159239,0.26994916934612,0.343766539368379,3.68000000000001e-05,5301405,309375.263693285,0,0,0,0,0,-714.451969313814,438411834
-8,0.0588235294117647,-6.30387266470467,0.42198484375,0.00776777021023967,0.509730612820521,2.19126126926424,3.68e-05,5301405,309376.390293289,0,0,0,0,0,-900.51610268579,658707273
-8,0.0588235294117647,-4.95653062607643,0.42198484375,0.00799096818560854,0.580870446559963,0.242850960478432,3.68e-05,5301405,309377.334574023,0,0,0,0,0,-609.970996762448,882014384
-8,0.0588235294117647,-5.9991593978821,0.42198484375,0.0202742284883834,0.583520352553176,1.91624201361268,3.67999999999999e-05,5301405,309376.340833036,0,0,0,0,0,-748.922674198379,229982943
-8,0.0588235294117647,-5.12632729575178,0.42198484375,0.0228575786705219,0.533336996078162,0.286144682227456,3.68000000000001e-05,5301405,309376.575115302,0,0,0,0,0,-614.918501034108,464105932
-8,0.0588235294117647,6.26419681220828,0.92188984375,12.8268114928411,0.831970011125619,10.1175108581328,3.68e-05,5301405,9377.0821909827,0,0,0,0,0,-319.197038091595,931253691
-8,0.0588235294117647,5.95989838192676,0.92188984375,13.7823747851054,0.818067352358864,9.31284150909437,3.67999999999999e-05,5301405,9373.8648789885,0,0,0,0,0,-324.5083213463,383082017
-8,0.0588235294117647,6.29292879238095,0.92188984375,13.4382434832525,0.875702953384732,9.70913678913187,3.68e-05,5301405,9377.84622449305,0,0,0,0,0,-319.719248665277,651012078
-8,0.0588235294117647,5.77523578030118,0.92188984375,14.1965212104546,0.898009642052019,9.63648901877725,3.68e-05,5301405,9377.81950084058,0,0,0,0,0,-321.573962029478,213850310
-8,0.0588235294117647,6.59617837924348,0.92188984375,12.0800275163356,0.887622619163458,11.1456953748506,3.67999999999999e-05,5301405,9374.3737068798,0,0,0,0,0,-311.668073427059,595516661
-8,0.0588235294117647,-11.5136251738048,0.67193734375,5.73966498915405,0.775796687599923,3.27502521018125,3.68e-05,5301405,459373.558976204,0,0,0,0,0,-269.788325055963,721375836
-8,0.0588235294117647,-8.84941852136026,0.67193734375,3.35246515943709,0.88714951778336,2.68804095331885,3.68e-05,5301405,459375.962501728,0,0,0,0,0,-242.259913262897,487634386
-8,0.0588235294117647,-12.5871197738002,0.67193734375,14.8555254120092,0.836655623444999,2.51036330218194,3.68e-05,5301405,459375.981405537,0,0,0,0,0,-316.031602831504,1065572681
-8,0.0588235294117647,-11.2571902243537,0.67193734375,21.3036322813222,0.746883927155662,1.48706694279531,3.68e-05,5301405,459373.887235982,0,0,0,0,0,-340.881290429146,4628361
-8,0.0588235294117647,-10.7337287792765,0.67193734375,14.6977579913019,0.796549389550664,2.16605742827302,3.68000000000001e-05,5301405,459374.992956739,0,0,0,0,0,-307.782092534608,671158335
-8,0.0588235294117647,-2.18918477036598,0.17203234375,22.201377453199,0.867431897769551,5.76824000949484,3.68e-05,5301405,159374.876398947,0,0,0,0,0,-345.967124814843,12375459
-8,0.0588235294117647,-2.81793107767459,0.17203234375,21.7400048403144,0.89910579806395,5.21883158403966,3.68000000000001e-05,5301405,159376.518926889,0,0,0,0,0,-343.956984571349,36482810
-8,0.0588235294117647,-4.18475366940101,0.17203234375,19.55107062696,0.928314031938768,4.35329829096629,3.68e-05,5301405,159375.523497434,0,0,0,0,0,-338.089874343729,16572498
-8,0.0588235294117647,-4.50873739608052,0.17203234375,18.1322100434333,0.900835742898594,2.67757908008391,3.68e-05,5301405,159374.7083789,0,0,0,0,0,-332.178183869183,777360225
-8,0.0588235294117647,-3.95072576186205,0.17203234375,22.0035134490762,0.873068396169086,5.66994326580091,3.67999999999999e-05,5301405,159375.450982429,0,0,0,0,0,-341.12410932265,347308340
