"rho","gamma","phi","sigma_P","sigma_M","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.15,0.0588235294117647,1.23648148004399,0.54696109375,0.657003086377974,0.055254317796427,0.755589417269936,3.68e-05,5281842,234375.564368021,0,0,0,0.01721420632104,0,-174.54027575525,1032262042
0.15,0.0588235294117647,1.23917612889273,0.54696109375,0.680916659411873,0.0556331590069237,0.766896874498881,3.68e-05,5281842,234375.221115558,0,0,0,0.01721420632104,0,-174.547096212258,952584247
0.15,0.0588235294117647,1.59108426522979,0.54696109375,2.4640968761239,0.788325442580351,0.871013466553726,3.68e-05,5281842,234373.973971642,0,0,0,0.01721420632104,0,-248.663713959808,104645401
0.15,0.0588235294117647,1.24755699908967,0.54696109375,0.666232630230224,0.0552932259300859,0.744962073909212,3.67999999999999e-05,5281842,234375.383019843,0,0,0,0.01721420632104,0,-174.492307007641,234740649
0.15,0.0588235294117647,1.24001558461637,0.54696109375,0.665062444652203,0.0551431513475767,0.752423085650093,3.68e-05,5281842,234375.472462492,0,0,0,0.01721420632104,0,-174.580642282592,317665973
0.15,0.0588235294117647,2.38622270783,0.42198484375,0.0484479989517754,7.28268251987729,0.561798194700816,3.68000000000001e-05,5281842,309375.041788755,0,0,0,0.01721420632104,0,-743.090198758529,705788328
0.15,0.0588235294117647,4.14341071186372,0.42198484375,0.0529805096078341,9.42860757103442,0.365666384610391,3.67999999999999e-05,5281842,309374.322541267,0,0,0,0.01721420632104,0,-637.533438579441,854064337
0.15,0.0588235294117647,4.04303545491136,0.42198484375,0.00596257763073064,10.1684833916871,0.412666994394157,3.68e-05,5281842,309376.117856755,0,0,0,0.01721420632104,0,-646.726807962115,873099239
0.15,0.0588235294117647,3.23232184072059,0.42198484375,0.0277358105915744,5.1454098452519,0.565003620920514,3.67999999999999e-05,5281842,309376.432684491,0,0,0,0.01721420632104,0,-746.189331779474,361273200
0.15,0.0588235294117647,3.57168723661531,0.42198484375,1.48989565622502,23.7413087639849,0.513969640658665,3.68000000000001e-05,5281842,309376.397958816,0,0,0,0.01721420632104,0,-228.227755277991,269381900
0.15,0.0588235294117647,0.985113887641766,0.92188984375,0.527164431278056,0.0536054928155853,0.55655218965327,3.68e-05,5281842,9375.98157544066,0,0,0,0.01721420632104,0,-182.281291817435,319964054
0.15,0.0588235294117647,1.01790182300198,0.92188984375,0.550949106097731,0.054243988384923,0.569850877971378,3.68e-05,5281842,9376.7712873297,0,0,0,0.01721420632104,0,-182.444271974065,547559837
0.15,0.0588235294117647,1.05539556961487,0.92188984375,0.561613440852554,0.0545786690601099,0.573028794728243,3.68e-05,5281842,9373.92750364077,0,0,0,0.01721420632104,0,-182.382728446137,253740117
0.15,0.0588235294117647,0.983482597283159,0.92188984375,0.519115481002254,0.0550448542763091,0.564433231213989,3.68e-05,5281842,9375.67086913906,0,0,0,0.01721420632104,0,-182.113966758439,319708531
0.15,0.0588235294117647,1.00426883460373,0.92188984375,0.568703373936559,0.0537589881210465,0.547615077615536,3.68e-05,5281842,9375.33330423615,0,0,0,0.01721420632104,0,-182.330242894669,1030856131
0.15,0.0588235294117647,1.20232461100901,0.67193734375,0.731377238283726,0.0605171578008704,0.814107846689071,3.68e-05,5281842,459375.051283854,0,0,0,0.01721420632104,0,-176.215940896952,684785984
0.15,0.0588235294117647,1.20627355975334,0.67193734375,0.728116105414115,0.060467616612356,0.808913235308137,3.67999999999999e-05,5281842,459374.982774426,0,0,0,0.01721420632104,0,-176.200673746191,601394525
0.15,0.0588235294117647,1.20813788203023,0.67193734375,0.732829913623492,0.0604744567948584,0.80757841181709,3.68e-05,5281842,459375.458320973,0,0,0,0.01721420632104,0,-176.215545936261,423501901
0.15,0.0588235294117647,1.20734893126563,0.67193734375,0.724773325846058,0.0604141521739533,0.807859663832645,3.68000000000001e-05,5281842,459375.922029447,0,0,0,0.01721420632104,0,-176.210428048446,25515466
0.15,0.0588235294117647,1.20773875397192,0.67193734375,0.729412465907674,0.0602754629544124,0.806263513059893,3.68000000000001e-05,5281842,459374.227718182,0,0,0,0.01721420632104,0,-176.222269559804,881499460
0.15,0.0588235294117647,1.30974718566688,0.17203234375,0.760867928132198,0.0541997627566916,0.696632519714562,3.68e-05,5281842,159375.230179545,0,0,0,0.01721420632104,0,-177.395132761137,209189934
0.15,0.0588235294117647,1.2907757195917,0.17203234375,0.741326564779747,0.0543143300191969,0.710227511725019,3.68e-05,5281842,159375.448208757,0,0,0,0.01721420632104,0,-177.506090099196,289483220
0.15,0.0588235294117647,1.30487635027979,0.17203234375,0.740716109382914,0.054203468090088,0.702868183615918,3.68e-05,5281842,159375.228828455,0,0,0,0.01721420632104,0,-177.495525463824,955129904
0.15,0.0588235294117647,1.30076295713177,0.17203234375,0.736956653342801,0.0543781681377612,0.707388322889362,3.67999999999999e-05,5281842,159375.277888408,0,0,0,0.01721420632104,0,-177.282049742095,691396971
0.15,0.0588235294117647,1.31522972452972,0.17203234375,0.737895493022119,0.0543403512547361,0.711238377603786,3.68e-05,5281842,159376.140665632,0,0,0,0.01721420632104,0,-177.351607561481,844691868
0.15,0.0588235294117647,1.28533172999077,0.26576453125,0.735722542303918,0.0550645510805463,0.732754464017716,3.67999999999999e-05,5281842,215627.057993438,0,0,0,0.01721420632104,0,-176.182958080025,385816971
0.15,0.0588235294117647,1.28377996963017,0.26576453125,0.731900269340287,0.0551923170661349,0.731319847174592,3.68e-05,5281842,215624.725268969,0,0,0,0.01721420632104,0,-176.047509030855,69550425
0.15,0.0588235294117647,1.28416952891292,0.26576453125,0.724353639382636,0.0551338024691288,0.73620134648944,3.68e-05,5281842,215624.695737501,0,0,0,0.01721420632104,0,-176.160172081412,1042799322
